sample_no,id,sample_group,speaker_jp,jp,hit_terms,flash_cn,pro_cn,same_norm,flash_flags,pro_flags,flash_flag_count,pro_flag_count
23,game_t00291,opening_daily_2,リリア,「どういう……ことですか……？　中継機……？」,リリア=>莉莉娅,“这是……怎么回事……？中继机……？”,莉莉娅,no,,,0,0
24,game_t00292,opening_daily_2,ウィル,「輸送艦に乗ってたなら、あの時から通信障害には気づいてただろう？　あれは今も続いてるんだ」,ウィル=>威尔,如果你当时在运输舰上，应该早就注意到通信故障了吧？那个问题现在还在持续。,“如果你当时在运输舰上，应该从那时起就注意到通信故障了吧？那个故障现在还在持续。”,no,,,0,0
25,game_t00293,opening_daily_2,,あの日以来徐々にひどくなり、遂には長距離通信能力をほぼ奪われるに至った謎の現象。,,自那天起逐渐恶化，最终几乎被剥夺了长距离通信能力的神秘现象。,自那日起逐渐恶化，最终几乎完全丧失长距离通信能力的谜之现象。,no,,,0,0
26,game_t00294,opening_daily_2,,だからこそ、俺たちも探検隊みたいな真似をする羽目になってるんだ。,探検隊=>探险队,正因为如此，我们才不得不像探险队一样行事。,正因如此，我们也落得个像探险队一样的地步。,no,,,0,0
27,game_t00295,opening_daily_2,リリア,「…………」,リリア=>莉莉娅,「…………」,莉莉娅,no,,,0,0
28,game_t00296,opening_daily_2,ダリル,「ウィルの言ってることは本当だよ。どの道、中継機が信号を拾わなきゃ捜索は無理なのさ」,ウィル=>威尔; ダリル=>达里尔,威尔说的是真的。不管怎样，如果中继机收不到信号，搜索是不可能的。,威尔说的是真的。不管怎样，如果中继器接收不到信号，搜索是不可能的。,no,,,0,0
29,game_t00297,opening_daily_2,ダリル,「このだだっ広い海域に、数機ぽっちの戦術機じゃあね」,ダリル=>达里尔,在这片广阔的海域，区区几架战术机可不够啊,在这片广阔的海域，只有几架战术机可不行啊,no,,,0,0
30,game_t00298,opening_daily_2,リリア,「捜索は……無理……」,リリア=>莉莉娅,"莉莉娅：""搜索……不可能……""",「搜索……不行……」,no,,,0,0
31,game_t00299,opening_daily_2,ウィル,「……推進剤も無駄にはできないんだ。すまない、本当に……」,ウィル=>威尔,“……推进剂也不能浪费。抱歉，真的……”,“……推进剂也不能浪费。抱歉，真的……”,yes,,,0,0
32,game_t00300,opening_daily_2,,クソ……。誰かが生きてるなら、俺だって本当は助けてやりたい……。,誰かが=>有人; クソ=>该死,该死……。要是有人活着的话，我其实也想救他们……。,该死……。如果有人还活着，我其实也想救他们……。,no,,,0,0
33,game_t00301,opening_daily_2,リリア,「…………」,リリア=>莉莉娅,「…………」,莉莉娅,no,,,0,0
34,game_t00302,opening_daily_2,ダリル,「……まずは艦に戻るよ。話はそれからだ。いいね？」,ダリル=>达里尔,“……先回舰上吧。话等之后再说。可以吧？”,“……先回舰上。之后再说。可以吧？”,no,,,0,0
35,game_t00303,opening_daily_2,リリア,「了解、です……」,リリア=>莉莉娅,莉莉娅,莉莉娅,yes,,,0,0
36,game_t00304,opening_daily_2,,……分かってくれたか……。,,jp: ……你理解了吗……。,……你明白了吗……。,no,explain,,1,0
37,game_t00305,opening_daily_2,ダリル,「ナイヴス１よりソルティ・ベース、救命艇より生存者１名を確保、乗員は他に無し」,ソルティ・ベース=>索尔蒂基地; ナイヴス１=>黑刃1; ナイヴス=>黑刃; ダリル=>达里尔,黑刃1呼叫索尔蒂基地，从救生艇上救出1名幸存者，无其他船员,黑刃1呼叫索尔蒂基地，救生艇上救起一名幸存者，无其他乘员,no,,,0,0
38,game_t00306,opening_daily_2,ダリル,「生存者は米国海兵隊第２６海兵戦術機甲群所属、リリア・シェルベリ少尉」,リリア・シェルベリ=>莉莉娅·谢尔贝里; リリア・シェル=>莉莉娅·谢尔; 米国海兵隊第=>美国海军陆战队第; シェルベリ=>谢尔贝里; 米国海兵隊=>美国海军陆战队; 海兵隊第=>海军陆战队第; リリア=>莉莉娅; 海兵隊=>海军陆战队; ダリル=>达里尔; 少尉=>少尉; 米国=>美国,生存者是美国海军陆战队第26海军战术机甲群所属，莉莉娅·谢尔贝里少尉,「幸存者是美国海军陆战队第26海军战术机甲群所属，莉莉娅·谢尔贝里少尉」,no,,,0,0
39,game_t00307,opening_daily_2,ダリル,「若干の衰弱はあるがバイタルに問題なし。戦術機にて搬送可能。データ転送する」,ダリル=>达里尔,虽然有些衰弱，但生命体征没有问题。可以用战术机运送。传输数据。,“虽然有些虚弱，但生命体征没有问题。可以用战术机进行搬运。数据传输中”,no,,,0,0
40,game_t00308,opening_daily_2,ＪＦＫオペレーター,「――ソルティ・ベース了解、医療チームにデータを回しておく。詳細は帰投後に報告せよ」,ＪＦＫオペレーター=>JFK操作员; ソルティ・ベース=>索尔蒂基地; オペレーター=>操作员; ＪＦＫ=>JFK,「――索尔蒂基地了解，医疗团队的数据已转交。详细情况归队后报告」,“——索尔蒂基地收到，我会把数据转给医疗团队。详细情况返回后报告。”,no,,,0,0
41,game_t00309,opening_daily_2,ダリル,「ナイヴス１了解。これより帰投する」,ナイヴス１=>黑刃1; ナイヴス=>黑刃; ダリル=>达里尔,黑刃1收到。现在开始返航。,黑刃1了解。现在开始返航,no,,,0,0
42,game_t00310,opening_daily_2,ダリル,「さて、と」,ダリル=>达里尔,好了,那么，,no,,,0,0
43,game_t00311,opening_daily_2,ダリル,「ウィルバート・Ｄ・コリンズ少尉！」,ウィルバート・Ｄ・コリンズ=>威尔伯特·D·柯林斯; コリンズ=>柯林斯; ウィル=>威尔; ダリル=>达里尔; 少尉=>少尉,威尔伯特·D·柯林斯少尉！,威尔伯特·D·柯林斯少尉,no,,,0,0
44,game_t00312,opening_daily_2,ウィル,「は！」,ウィル=>威尔,威尔,威尔,yes,,,0,0
45,game_t00313,opening_daily_2,ダリル,「シェルベリ少尉を貴様の機体に乗せて差し上げろ」,シェルベリ=>谢尔贝里; ダリル=>达里尔; 少尉=>少尉,把谢尔贝里少尉放到你的飞机上,让谢尔贝里少尉乘坐你的机体,no,,,0,0
46,game_t00314,opening_daily_2,ウィル,「は！　……は！？」,ウィル=>威尔,哈！……哈！？,哈！……哈！？,yes,,,0,0
47,game_t00315,opening_daily_2,リリア,「…………！」,リリア=>莉莉娅,「…………！」,莉莉娅,no,,,0,0
48,game_t00316,opening_daily_2,,ちょっ……ちょっと待て隊長！　何を言ってるか本当に分かってるのか！？,隊長=>队长,等等……等一下队长！你真的明白自己在说什么吗？！,等……等一下队长！你真的明白自己在说什么吗！？,no,,,0,0
49,game_t00317,opening_daily_2,ダリル,「なんだウィル、何か文句でもあるのかい？」,ウィル=>威尔; ダリル=>达里尔,“怎么了威尔，你有什么不满吗？”,怎么，威尔，你有什么不满吗？,no,,,0,0
50,game_t00318,opening_daily_2,ウィル,「……は。いえ……その、恐れながら、我々のＦ－１８Ｅは単座であります」,Ｆ－１８Ｅ=>F-18E; ウィル=>威尔,“……啊。不……那个，恕我直言，我们的F-18E是单座机。”,「……是。不……那个，恕我直言，我们的F-18E是单座机」,no,,,0,0
51,game_t03189,battle_comms_command_2,ダリル,「よろしい」,ダリル=>达里尔,达里尔,达里尔,yes,,,0,0
52,game_t03190,battle_comms_command_2,リリア,「は――。目視誘導は我々海兵隊が受けるべき任務ではないでしょうか？」,我々海兵隊=>我方海军陆战队; リリア=>莉莉娅; 海兵隊=>海军陆战队,“哈——。目视引导难道不应该是我们海军陆战队的任务吗？”,“是——。目视引导难道不是我方海军陆战队应该接受的任务吗？”,no,term_missing:我々海兵隊->我方海军陆战队,,1,0
53,game_t03191,battle_comms_command_2,,海兵隊が常に前に出る――リリアらしい質問だな。,リリア=>莉莉娅; 海兵隊=>海军陆战队,海军陆战队总是冲在前面——这问题真像莉莉娅会问的啊。,海军陆战队总是冲在最前面——这问题很有莉莉娅的风格。,no,,,0,0
54,game_t03192,battle_comms_command_2,ダリル,「通常ならばそのとおりだ。だが我々の任務は、本来あくまでヨコハマからの積荷の死守だ。以前説明したろう――？」,ヨコハマ=>横滨; ダリル=>达里尔,通常来说是这样。但我们的任务，原本只是死守从横滨运来的货物。之前不是说明过了吗——？,「通常的话确实如此。但我们的任务，本来终究是死守来自横滨的货物。以前说明过了吧——？」,no,,,0,0
55,game_t03193,battle_comms_command_2,リリア,「積荷……」,リリア=>莉莉娅,莉莉娅,货物……,no,,,0,0
56,game_t03194,battle_comms_command_2,ダリル,「母艦を守らなきゃいけないことに変わりは無いが、防衛の主体はあくまで海軍戦力が担当する。数もあちらさんは９機で多いしな」,ダリル=>达里尔; 海軍=>海军; 母艦=>母舰,“保护母舰这一点没有改变，但防御的主体始终由海军战力负责。数量上对方有9架，也比较多。”,虽然保护母舰这一点没有改变，但防御的主体仍然由海军战力负责。而且他们那边有9架，数量上也更多。,no,,,0,0
57,game_t03195,battle_comms_command_2,ダリル,「無論、建前上の主体が向こうってだけのことさ。アタシらはアタシらで全力を投入する。いいね？」,ダリル=>达里尔,当然，表面上只是对方主导而已。我们这边也会全力以赴。明白吗？,“当然，这只是表面上的主体是他们那边而已。我们这边也会全力以赴。没问题吧？”,no,,,0,0
58,game_t03196,battle_comms_command_2,リリア,「……は！」,リリア=>莉莉娅,「……哈！」,莉莉娅,no,,,0,0
59,game_t03197,battle_comms_command_2,,……まだ不満はありそうだな。,まだ=>还,看来你还有不满啊。,……看来还是不太满意啊。,no,,,0,0
60,game_t03198,battle_comms_command_2,,ま、とはいえ隊長も言うようにあくまで建前だ。どっちにしたって、俺たちは母艦を守らなきゃ意味が無いし明日も無い。,隊長=>队长; 母艦=>母舰,嘛，话虽如此，正如队长所说，这不过是表面上的说法。不管怎样，如果我们不保护母舰，就没有意义，也没有明天。,嘛，不过正如队长所说，这终究只是场面话。不管怎样，我们要是不保护好母舰就没意义了，也没有明天可言。,no,,,0,0
61,game_t03199,battle_comms_command_2,ダリル,「我々は海軍戦術機隊と連携し、敵を撃破しつつ、可能な限り母艦から引き離す」,海軍戦術機隊=>海军战术机队; 戦術機隊=>战术机队; ダリル=>达里尔; 海軍=>海军; 母艦=>母舰,我们与海军战术机队协同作战，一边击破敌人，一边尽可能将其从母舰引开,“我们将与海军战术机队协同，在击破敌人的同时，尽可能将其从母舰引开”,no,,,0,0
62,game_t03200,battle_comms_command_2,ダリル,「現在、整備班総出でありったけの武装を甲板上にあげてる。突撃砲だけはバーゲンセールが出来るぐらいあるけどね、推進剤は厳しいところさ」,ダリル=>达里尔; 突撃=>突击,“现在，整备班全员出动，把所有的武装都搬到了甲板上。虽然突击炮多到可以大甩卖，但推进剂方面很吃紧。”,现在，整备班全体出动，把所有武器都搬到了甲板上。只有突击炮多到可以搞大甩卖，但推进剂就紧张了。,no,,,0,0
63,game_t03201,battle_comms_command_2,,悠長に弾薬エレベーターで都度上げてる暇はないってことか。,,意思是没时间悠闲地每次用弹药电梯往上运。,看来是没有闲暇每次都悠哉地用弹药升降机搬运了。,no,,,0,0
64,game_t03202,battle_comms_command_2,,飛行甲板上全体を補給ポイントとして使うわけだ。,,原来是把整个飞行甲板都当作补给点啊。,也就是说，整个飞行甲板都要用作补给点。,no,,,0,0
65,game_t03203,battle_comms_command_2,ダリル,「消費を抑えて撃墜されちゃあ本末転倒だが、推進剤の使用量には一応注意しておけ」,ダリル=>达里尔,虽然节省消耗却被击落是本末倒置，但还是要留意推进剂的使用量。,“虽然为了节省消耗而被击落就本末倒置了，但推进剂的使用量还是要稍微注意一下。”,no,,,0,0
66,game_t03204,battle_comms_command_2,ダリル,「光線属種の不在が確認されれば、引き続いて甲板上に交換用推進剤増槽も配置される。積極的に利用しな」,ダリル=>达里尔; 光線=>激光,如果确认没有激光属种，接下来甲板上也会配置备用推进剂增槽。请积极利用。,如果确认光线属种不在，接下来甲板上还会配置交换用推进剂增槽。要积极利用。,no,,term_missing:光線->激光,0,1
67,game_t03205,battle_comms_command_2,ウィル・リリア,「――了解！」,ウィル・リリア=>威尔·莉莉娅; リリア=>莉莉娅; ウィル=>威尔,“——了解！”,「――了解！」,no,,,0,0
68,game_t03206,battle_comms_command_2,ダリル,「――戦闘は『機織り』の要領だ。戦術機は地上に展開、安全距離を保ちつつ敵の頭を抑える」,ダリル=>达里尔; 要領=>要领,“——战斗就像‘织布’的要领。战术机在地面展开，保持安全距离的同时压制敌人的头部。”,「――战斗是『织布』的要领。战术机在地面展开，保持安全距离的同时压制敌人头部」,no,,,0,0
69,game_t03207,battle_comms_command_2,ダリル,「――海軍側の１個小隊が地上でＢＥＴＡを引きつけてる間に、もう１個小隊がＢＥＴＡ群の真上から侵入する」,ＢＥＴＡ=>BETA; ダリル=>达里尔; 個小隊=>个小队; 海軍側=>海军方面; 海軍=>海军; 小隊=>小队,“——海军方面的一个小队在地面上吸引BETA的注意，同时另一个小队从BETA群的正上方侵入。”,“——海军方面的1个小队在地面上吸引BETA的同时，另一个小队从BETA群的正上方侵入”,no,,,0,0
70,game_t03208,battle_comms_command_2,ダリル,「もちろん、我々は侵入組に同行さ。シェルベリ少尉、股間が熱くなるだろう？」,シェルベリ=>谢尔贝里; ダリル=>达里尔; 少尉=>少尉,「当然，我们会跟随入侵组。谢尔贝里少尉，你的裤裆会发热吧？」,当然，我们会与入侵组同行。谢尔贝里少尉，胯下会发热吧？,no,,,0,0
71,game_t03209,battle_comms_command_2,リリア,「は！　ご配慮、ありがとうございます！」,リリア=>莉莉娅,哈！感谢您的关心！,莉莉娅,no,,,0,0
72,game_t03210,battle_comms_command_2,ダリル,「警報が出てなくても、いつ光線属種が出てくるかわからない、警戒は常に怠るんじゃないよ！」,ダリル=>达里尔; 光線=>激光,即使没有发出警报，也不知道激光属性什么时候会出现，警戒绝不能松懈！,「即使没有警报，也不知道什么时候会出现光线属种，警戒绝不能松懈！」,no,,term_missing:光線->激光,0,1
73,game_t03211,battle_comms_command_2,ウィル・リリア,「――了解！」,ウィル・リリア=>威尔·莉莉娅; リリア=>莉莉娅; ウィル=>威尔,“——了解！”,「――了解！」,no,,,0,0
74,game_t03212,battle_comms_command_2,ダリル,「――幸い、弾だけはいくらでも余裕がある。とにかく撃って撃って撃ちまくり、奴等の鼻面を引っ張り回してやんな！」,ダリル=>达里尔,「――幸好，子弹要多少有多少。总之就是不停地射击，牵着他们的鼻子走！」,「——幸运的是，子弹要多少有多少。总之就是射、射、射个不停，把那些家伙的鼻子牵着走！」,no,,,0,0
75,game_t03213,battle_comms_command_2,ウィル・リリア,「――了解！」,ウィル・リリア=>威尔·莉莉娅; リリア=>莉莉娅; ウィル=>威尔,「――了解！」,「――了解！」,yes,,,0,0
76,game_t03214,battle_comms_command_2,ダリル,「突撃級はケツをファックできない限り、水上艦の艦砲に任せな。アタシらの獲物はそれ以外の連中だ」,ファック=>妈的; ダリル=>达里尔; 突撃=>突击,突击级除非能爆菊，否则就交给水面舰的舰炮吧。我们的猎物是其他家伙。,突击级不能操屁股的话，就交给水上舰的舰炮吧。我们的猎物是其他家伙,no,term_missing:ファック->妈的,term_missing:ファック->妈的,1,1
77,game_t03215,battle_comms_command_2,ダリル,「――海軍の連中に負けんじゃないよ！　海兵隊の戦闘ぶりを奴らに教え込んでやれ！」,海兵隊=>海军陆战队; ダリル=>达里尔; 海軍=>海军,“——别输给海军那帮家伙！让那些家伙见识见识海军陆战队的战斗方式！”,「――别输给海军的家伙们！让他们见识见识海军陆战队的战斗方式！」,no,,,0,0
78,game_t03216,battle_comms_command_2,ウィル・リリア,「――了解！」,ウィル・リリア=>威尔·莉莉娅; リリア=>莉莉娅; ウィル=>威尔,“——了解！”,「――了解！」,no,,,0,0
79,game_t03217,battle_comms_command_2,ダリル,「いい返事だ」,ダリル=>达里尔,好回答,达里尔,no,,,0,0
80,game_t03218,battle_comms_command_2,,巡洋艦と駆逐艦が支援するとは言え、たったの１個中隊で旅団規模のＢＥＴＡを相手にする……。,ＢＥＴＡ=>BETA; 個中隊=>个中队; 中隊=>中队,虽说有巡洋舰和驱逐舰支援，但仅凭一个中队就要对抗旅团规模的BETA……。,虽说有巡洋舰和驱逐舰支援，但仅凭一个中队就要对抗旅团规模的BETA……。,yes,,,0,0
81,game_t03219,battle_comms_command_2,,……やらなきゃ死ぬだけだ。,,jp: ……不干的话只有死路一条。,,no,explain,empty,1,1
82,game_t03220,battle_comms_command_2,,……とはいえ、本当に出来るのか……？,,jp: ……话虽如此，真的能做到吗……？,……话虽如此，真的能做到吗……？,no,explain,,1,0
83,game_t03221,battle_comms_command_2,ダリル,「……と言いたいとこだけどね、約一名がどうも思わしくないねえ」,ダリル=>达里尔,“……虽然我很想这么说，但似乎有一个人不太对劲啊。”,「……虽然想这么说，但大约有一个人似乎不太对劲呢」,no,,,0,0
84,game_t03222,battle_comms_command_2,ウィル,「…………」,ウィル=>威尔,「…………」,威尔,no,,,0,0
85,game_t03223,battle_comms_command_2,リリア,「…………」,リリア=>莉莉娅,「…………」,莉莉娅,no,,,0,0
86,game_t03224,battle_comms_command_2,ダリル,「……ふん、このリゾート暮らしで海兵魂が抜けちまったみたいだね」,ダリル=>达里尔,“……哼，看来这种度假生活把我的海军陆战队精神都磨没了啊。”,达里尔： 「……哼，看来这度假村的生活已经把我的海军魂给磨没了呢」,no,,,0,0
87,game_t03225,battle_comms_command_2,ウィル,「…………」,ウィル=>威尔,「…………」,威尔,no,,,0,0
88,game_t03226,battle_comms_command_2,リリア,「…………」,リリア=>莉莉娅,「…………」,莉莉娅,no,,,0,0
89,game_t03227,battle_comms_command_2,ダリル,「――貴様ら！　貴様ら海兵隊の覚悟は何処だ！」,海兵隊=>海军陆战队; ダリル=>达里尔,「――你们！你们海军陆战队的觉悟在哪里！」,「——你们这些家伙！你们海军陆战队的觉悟在哪里！」,no,,,0,0
90,game_t03228,battle_comms_command_2,,…………！,,jp: …………！,日本制造！日本制造的质量世界第一！你们这些美国航母/巡洋舰/护卫舰算什么？HIVE？JFK？BETA？CVN-67？HMAS？统统垃圾！日本：…………！,no,explain,,1,0
91,game_t03229,battle_comms_command_2,ウィル・リリア,「生涯忠誠！　命を懸けて！」,ウィル・リリア=>威尔·莉莉娅; 生涯忠誠=>终身忠诚; リリア=>莉莉娅; ウィル=>威尔,终身忠诚！拼上性命！,终身忠诚！以命相搏！,no,,,0,0
92,game_t03230,battle_comms_command_2,ダリル,「海兵隊員は許可なく死ぬことを許されない！」,海兵隊員=>海军陆战队员; 海兵隊=>海军陆战队; ダリル=>达里尔,海军陆战队员未经许可不得死亡！,海军陆战队员未经许可不得死亡！,yes,,,0,0
93,game_t03231,battle_comms_command_2,ウィル・リリア,「海兵隊員は許可なく死ぬことを許されない！」,ウィル・リリア=>威尔·莉莉娅; 海兵隊員=>海军陆战队员; リリア=>莉莉娅; ウィル=>威尔; 海兵隊=>海军陆战队,海军陆战队员未经许可不得死亡！,海军陆战队员未经允许不得死亡！,no,,,0,0
94,game_t03232,battle_comms_command_2,ダリル,「ウィルバート・コリンズ海兵隊少尉！　我々に課せられた任務は何だ！」,ウィルバート・コリンズ=>威尔伯特·柯林斯; 海兵隊少尉=>海军陆战队少尉; コリンズ=>柯林斯; ウィル=>威尔; 海兵隊=>海军陆战队; ダリル=>达里尔; 少尉=>少尉,威尔伯特·柯林斯海军陆战队少尉！我们被赋予的任务是什么！,威尔伯特·柯林斯海军陆战队少尉！我们的任务是什么！,no,,,0,0
95,game_t03233,battle_comms_command_2,ウィル,「は！　母艦の死守です！」,ウィル=>威尔; 母艦=>母舰,哈！是死守母舰！,是！死守母舰！,no,,,0,0
96,game_t03234,battle_comms_command_2,ダリル,「そのとおりだ！　リリア・シェルベリ海兵隊少尉！　我々に課せられた任務は何だ！？」,リリア・シェルベリ=>莉莉娅·谢尔贝里; リリア・シェル=>莉莉娅·谢尔; シェルベリ=>谢尔贝里; 海兵隊少尉=>海军陆战队少尉; リリア=>莉莉娅; 海兵隊=>海军陆战队; ダリル=>达里尔; 少尉=>少尉,没错！莉莉娅·谢尔贝里海军陆战队少尉！我们被赋予的任务是什么！？,“没错！莉莉娅·谢尔贝里海军陆战队少尉！我们被赋予的任务是什么！？”,no,,,0,0
97,game_t03235,battle_comms_command_2,リリア,「友軍到着まで持ちこたえる事です！」,リリア=>莉莉娅; 友軍=>友军,「坚持到友军到达！」,在友军到达之前坚持住！,no,,,0,0
98,game_t03236,battle_comms_command_2,ダリル,「そうだ！　我々は決してひとりではない！　我々は海兵隊員である！　海兵隊員は仲間を見捨てない！」,海兵隊員=>海军陆战队员; 海兵隊=>海军陆战队; ダリル=>达里尔,没错！我们绝不是孤身一人！我们是海军陆战队员！海军陆战队员不会抛弃战友！,「没错！我们绝不是孤身一人！我们是海军陆战队员！海军陆战队员不会抛弃同伴！」,no,,,0,0
99,game_t03237,battle_comms_command_2,ウィル・リリア,「――！」,ウィル・リリア=>威尔·莉莉娅; リリア=>莉莉娅; ウィル=>威尔,「――！」,威尔·莉莉娅,no,,,0,0
100,game_t03238,battle_comms_command_2,ダリル,「いいか――！　たとえこの惑星が滅んでも、海兵隊は不滅である！　海兵第３１８戦術機隊――出撃！」,海兵第３１８戦術機隊=>海军陆战队第318战术机队; 第３１８戦術機隊=>第318战术机队; 戦術機隊=>战术机队; 海兵隊=>海军陆战队; ダリル=>达里尔; 惑星=>行星,听好了——！即使这颗行星毁灭，海军陆战队也永不消亡！海军陆战队第318战术机队——出击！,听好了——！即便这个行星毁灭，海军陆战队也永不灭！海军陆战队第318战术机队——出击！,no,,,0,0
101,game_t00724,proper_noun_dense_2,オールストン准将,「以後、未だキングからの連絡は無い」,オールストン准将=>奥尔斯顿准将; キング=>国王号; 准将=>准将,此后，仍未收到国王号的联络,“以后，仍未收到国王号的联络”,no,,,0,0
102,game_t00725,proper_noun_dense_2,リリア,「…………」,リリア=>莉莉娅,「…………」,莉莉娅,no,,,0,0
103,game_t00726,proper_noun_dense_2,オールストン准将,「他の艦については、乗員、装備の損耗が激しい為、艦の維持に必要な最低限の人員を除き、海岸沿いに設置した臨時キャンプに移動」,オールストン准将=>奥尔斯顿准将; 准将=>准将,关于其他舰艇，由于乘员和装备损耗严重，除维持舰艇所需的最低限度人员外，其余人员转移到沿海设置的临时营地。,,no,,empty,0,1
104,game_t00727,proper_noun_dense_2,オールストン准将,「一部人員については当母艦にも収容、現在に至る――という訳だ」,オールストン准将=>奥尔斯顿准将; 准将=>准将; 母艦=>母舰,“一部分人员也收容在这艘母舰上，直到现在——就是这么回事。”,“部分人员也收容到了本舰上，一直到现在——就是这么回事。”,no,,term_missing:母艦->母舰,0,1
