id,egpack,speaker,jp,before_cn,after_cn,reason
game_t03585,090_UAF_DAY99_03.egpack,,「貴様の機体に保護対象７２を転送した。このデータを持って脱出だ！　新規増槽を装着、\wカタパルトで射出しな！」,「你的机体已转移保护对象72。带着这些数据撤离！安装新副油箱，用弹射器射出！」,「已将保护对象72传输到你的机体。带着这份数据撤离！安装新副油箱，用弹射器弹射出去！」,中文自然度/日式直译修正
game_t03598,090_UAF_DAY99_03.egpack,,こいつは強い奴だ。,这家伙是个强敌。,她很坚强。,语义修正：強い奴=坚强的人，不是强敌
game_t03599,090_UAF_DAY99_03.egpack,,生き残らせなきゃいけない奴なんだ。,必须让他活下去。,必须让她活下去。,代词修正：语境指莉莉娅
game_t03600,090_UAF_DAY99_03.egpack,,俺が、\w誰よりも死なせたくない奴なんだ。,我是比任何人都更不想让他死的人。,我比任何人都更不想让她死。,代词修正：语境指莉莉娅
game_t03612,090_UAF_DAY99_03.egpack,,「この場所の死守は、\w俺たちだけが受けた命令だ。リリアの機密開示証明は未だ確認されていない」,「死守这个地方，是我们接到的唯一命令。莉莉娅的安全许可尚未确认」,「死守这里，是只有我们接到的命令。莉莉娅的安全许可尚未确认」,中文自然度/日式直译修正
game_t03627,090_UAF_DAY99_03.egpack,,「受け継ぐんじゃなかったのか！　誰かが生きてこそ、\w生き延びてこそ、\w語り継げるんじゃなかったのか！」,「不是应该继承下去吗！有人活着，幸存下来，才能传述下去不是吗！」,「不是应该继承下去吗！有人活着，幸存下来，才能传颂下去不是吗！」,中文自然度/日式直译修正
game_t03629,090_UAF_DAY99_03.egpack,,「おまえならいける…\w…\wおまえなら生き延びる…\w…\wおまえなら、\w俺たちを語り継げる！」,「是你的话就能行……是你的话就能活下去……是你的话，就能将我们传颂下去！」,「你一定能行……你一定能活下去……你一定能把我们传颂下去！」,中文自然度/日式直译修正
game_t03636,090_UAF_DAY99_03.egpack,,「そのパッケージが俺らの結晶なら、\wその名前も全てそこに入ってるはずなんだ！」,「如果那个包是我们的结晶，名字也应该全在里面！」,「如果那个数据包是我们的结晶，名字也应该全在里面！」,中文自然度/日式直译修正
game_t00231,020_UAF_DAY91_01.egpack,,「軽く発熱してる、\wか。けどこの程度なら感染症の心配はなさそうだね」,「有点发烧呢。不过这种程度的话，看来不用担心是感染症啊」,「有点发烧呢。不过这种程度的话，看来不用担心感染病。」,第二轮中文自然度/日式直译修正
game_t00540,020_UAF_DAY91_01.egpack,,「コントロール、\w保護対象搭乗機はナイヴス２だ、\w先に着艦させる」,「管制，保护对象搭乘机是黑刃2，先让其着舰」,「管制，保护对象所在机是黑刃2，让其先着舰」,第二轮中文自然度/日式直译修正
game_t00695,030_UAF_DAY93_01.egpack,,「本日時点での本艦乗員数は２１９２名。これは、\w作業可能な軽傷者を含む」,「本日时点本舰乘员数为2192名。这包括可作业的轻伤者。」,「截至今天，本舰乘员数为2192名。这包括可作业的轻伤者。」,第二轮中文自然度/日式直译修正
game_t00727,030_UAF_DAY93_01.egpack,,「一部人員については当母艦にも収容、\w現在に至る――という訳だ」,「部分人员由本母舰收容，直到现在——就是这么回事」,「部分人员由本舰收容，直到现在——就是这么回事」,第二轮中文自然度/日式直译修正
game_t00825,030_UAF_DAY93_01.egpack,,「最低限整備用の発動機を回したり、\w荒天時に備えて若干の駆動ができるだけでね。給油艦でも拾えない限り、\w海に出る事はできないのさ」,「只能转动最低限度维护用的发动机，以及在恶劣天气时进行一些驱动。除非能遇到补给舰，否则无法出海。」,「只能启动最低限度维护用的发动机，以及在恶劣天气时做一点机动。除非能遇到补给舰，否则无法出海。」,第二轮中文自然度/日式直译修正
game_t00887,030_UAF_DAY93_01.egpack,,「ああ。元々戦術機に限らず、\w船でも何でも近場との通信は普通に直接無線でやってたからね」,「啊啊。原本不仅限于战术机，船也好什么都好，与附近的通信通常都是直接通过无线电进行的。」,「啊啊。原本不仅限于战术机，船也好什么都好，和附近通信通常都是直接用无线电。」,第二轮中文自然度/日式直译修正
game_t00912,030_UAF_DAY93_01.egpack,,「今後の任務については明日、\w実機での着座調整と合わせて説明するものとする」,「关于今后的任务，明天将在实机上进行座位调整时一并说明。」,「关于今后的任务，明天会结合实机座椅调整一并说明。」,第二轮中文自然度/日式直译修正
game_t01199,040_UAF_DAY94_01.egpack,,…\w…\w既に調子どころではありませんでした…\w…\w。,……已经不是得意忘形这种程度了……。,……已经不是得意忘形的问题了……。,第二轮中文自然度/日式直译修正
game_t01228,040_UAF_DAY94_01.egpack,,『使える』難民とそれ以外に対する、\wあからさまな選別――,对“能用”的难民和其他人进行露骨筛选——,把“能用”的难民和其他人露骨地区分开来——,第二轮中文自然度/日式直译修正
game_t01279,040_UAF_DAY94_01.egpack,,「中尉、\w念のため伺いますが、\w規定慣熟プログラムの実行による誤差修正は許可されるのでしょうか」,「中尉，为慎重起见请问，通过执行规定熟悉程序进行误差修正是被允许的吗」,「中尉，为慎重起见请问，是否允许执行规定熟悉程序来修正误差？」,第二轮中文自然度/日式直译修正
game_t01287,040_UAF_DAY94_01.egpack,,後方で慣熟する方が明らかに安全で効率もいい…\w…\wってのは、\w所詮ヤンキー・ステーション上がりの発想なんだろうか？,后方进行熟练训练明显更安全、效率也更高……这种想法，终究只是扬基站出身的人才会有的吗？,在后方做熟悉训练明显更安全、效率也更高……这种想法，终究只是扬基站出身的人才会有的吗？,第二轮中文自然度/日式直译修正
game_t01369,040_UAF_DAY94_01.egpack,,「当面は任務の内容と推進剤効率に鑑み、\w２機分隊での運用を継続する」,「当前鉴于任务内容和推进剂效率，继续以2机分队进行运用」,「当前鉴于任务内容和推进剂效率，继续以2机分队运用」,第二轮中文自然度/日式直译修正
game_t01376,040_UAF_DAY94_01.egpack,,方針転換というほど何か他にできることでもあるんだろうか？,方针转换这种程度的事情，还有其他能做的吗？,说是方针转换，难道还有别的能做吗？,第二轮中文自然度/日式直译修正
game_t01410,040_UAF_DAY94_01.egpack,,「リリアの心情は理解できるけどね、\wアタシらに可能性を基にした広域捜索の余裕が無い事は最初に伝えたつもりだよ」,「莉莉娅的心情我能理解，但一开始我就说过，我们没有余力基于可能性进行广域搜索」,「莉莉娅的心情我能理解，但一开始我就说过，我们没有余力根据可能性展开广域搜索」,第二轮中文自然度/日式直译修正
game_t01411,040_UAF_DAY94_01.egpack,,「…\w…\w前回設置位置より更に前進した地点への設置、\w及び設置の際に任務を阻害しない範囲での捜索を願いたいんです」,「……希望能在比上次设置位置更靠前的地点进行设置，并且在设置时在不阻碍任务的范围内进行搜索」,「……希望能设置在比上次更靠前的地点，并且在设置时，在不阻碍任务的范围内搜索」,第二轮中文自然度/日式直译修正
game_t01430,040_UAF_DAY94_01.egpack,,「…\w…\w捜索活動は俺たちの本来の任務じゃない。あくまで空いた手を海軍に貸してるだけだ」,「……搜索活动不是我们的本来任务。只是空闲时帮海军一把而已。」,「……搜索活动不是我们原本的任务。只是空闲时帮海军一把而已。」,第二轮中文自然度/日式直译修正
game_t01570,050_UAF_DAY95_01.egpack,,というより、\wあれ以上何も会話をしなかったし、\wできなかった。,不如说，之后我们再也没有进行过任何对话，也无法进行对话。,不如说，之后我们再也没说过话，也说不出口。,第二轮中文自然度/日式直译修正
game_t01636,050_UAF_DAY95_01.egpack,,「この計画――『フライング・ブーム作戦』に\nおいては、\w周辺の捜索活動を行う予定は無い」,「在这个计划——『飞杆作战』中，不打算进行周边搜索活动」,「在这个计划——『飞杆作战』中，不打算搜索周边」,第二轮中文自然度/日式直译修正
game_t01642,050_UAF_DAY95_01.egpack,,「申し上げます！　捜索は行うべきです。我々は――」,「报告！应该进行搜索。我们——」,「报告！应该搜索。我们——」,第二轮中文自然度/日式直译修正
game_t01704,050_UAF_DAY95_01.egpack,,「今回はまだ物資の運搬は行わず、\wまずは前回と同じく中継機の設置を担当してもらう」,「这次还不进行物资搬运，首先和上次一样，请负责设置中继机」,「这次还不搬运物资，首先和上次一样，请负责设置中继机」,第二轮中文自然度/日式直译修正
game_t01714,050_UAF_DAY95_01.egpack,,ってリリアの奴、\w聞こえてないのか？,那家伙莉莉娅，没听到吗？,莉莉娅那家伙，没听到吗？,第二轮中文自然度/日式直译修正
game_t01755,050_UAF_DAY95_01.egpack,,本来こっちの方が当たり前の任務としてずっとやってきたのに、\w前回の件があるとどうしても期待してしまう。,本来这边才是理所当然的任务一直做下来的，但因为上次的事情，总是不由得期待起来。,明明这边原本才是一直以来理所当然的任务，可有了上次那件事，还是会忍不住期待。,第二轮中文自然度/日式直译修正
game_t01862,050_UAF_DAY95_01.egpack,,「――ソルティ・ベースよりナイヴス・リード、\wナイヴス両機による直接確認を許可する。繰り返す、\wナイヴス両機――」,「――索尔蒂基地允许黑刃长机及黑刃两机进行直接确认。重复，黑刃两机――」,「――索尔蒂基地允许黑刃长机及黑刃两机直接确认。重复，黑刃两机――」,第二轮中文自然度/日式直译修正
game_t01913,050_UAF_DAY95_01.egpack,,いつか次に回収できる時が来たとしても…\w…\wその頃には骨しか残ってないかもしれない。ゼロよりはマシだけど…\w…\w。,即使有一天能再来回收……到那时可能只剩骨头了。虽然总比什么都没有强……。,即使有一天能再来收殓……到那时可能只剩骨头了。虽然总比什么都没有强……。,第二轮中文自然度/日式直译修正
game_t01919,050_UAF_DAY95_01.egpack,,こいつらがこの世界に存在していたことを証明する、\w唯一の存在だ。,他们是证明这些家伙曾存在于这个世界的唯一存在。,这是证明这些家伙曾存在于这个世界的唯一证据。,第二轮中文自然度/日式直译修正
game_t02122,060_UAF_DAY96_01.egpack,,「合衆国の正規戦術機母艦１隻――俺たちが死んだら、\wこいつもまた塩にまみれて忘れられる」,「合众国的正规战术机母舰1艘——我们死了的话，这家伙也会被盐覆盖而被遗忘」,「合众国的正规战术机母舰1艘——我们死了的话，它也会被盐覆盖而被遗忘」,第二轮中文自然度/日式直译修正
game_t02859,080_UAF_DAY98_01.egpack,,「諸君らの、\wこれからも変わらぬ勇戦に、\w期待する」,「诸君，期待你们今后也不变的勇战」,「期待诸位今后也一如既往奋勇作战」,第二轮中文自然度/日式直译修正
game_t02977,090_UAF_DAY99_01.egpack,,「昨日のこと。ウチの艦でもね、\wどこかホッとしたって話ばっかだったよ。米軍を少しは見直した、\wともね」,「昨天的事。本舰上也是，大家都在说松了口气。还说对美军有点改观了」,「昨天的事。我们舰上也是，大家都在说松了口气。还说对美军有点改观了」,第二轮中文自然度/日式直译修正
game_t03018,090_UAF_DAY99_01.egpack,,「――今のところは問題ありませんが、\wフィルター関連は消耗品ですからね。リサイクルで使うにも限界があるんです」,「——目前虽然没问题，但过滤器相关的是消耗品。用于回收也有极限。」,「——目前虽然没问题，但过滤器之类都是消耗品。就算回收利用也有极限。」,第二轮中文自然度/日式直译修正
game_t03101,090_UAF_DAY99_01.egpack,,「そういうことだ。いずれかの人類勢力によって周辺偵察が行われた可能性が高い。ただし通信の中継は行っておらず、\w詳細は不明」,「就是这样。很可能有某个人类势力进行了周边侦察。不过没有进行通信中继，详细情况不明」,「就是这样。很可能有某个人类势力做过周边侦察。不过没有中继通信，详细情况不明」,第二轮中文自然度/日式直译修正
game_t03104,090_UAF_DAY99_01.egpack,,「喜ぶのは早いぞ？　この情報によって、\w現在旅団規模のＢＥＴＡ群が本艦周辺に向けて侵攻中であることが判明した」,「高兴得太早了？根据这一情报，目前旅团规模的BETA群正在向本舰周边入侵。」,「高兴得太早了？根据这一情报，目前旅团规模的BETA群正在向本舰周边推进。」,第二轮中文自然度/日式直译修正
game_t03108,090_UAF_DAY99_01.egpack,,「本艦までの到達時間は８０分以内と予想されている」,「本舰的到达时间预计在80分钟以内」,「预计将在80分钟内抵达本舰」,第二轮中文自然度/日式直译修正
game_t03148,090_UAF_DAY99_01.egpack,,「また戦術機部隊の展開に先立ち、\w『ゲティスバーグ』、\w『シドニー』が誘導弾で制圧攻撃をかける」,「另外，在战术机部队展开之前，‘葛底斯堡’、‘悉尼’将用诱导弹进行压制攻击」,「另外，在战术机部队展开之前，‘葛底斯堡’、‘悉尼’将用诱导弹实施压制攻击」,第二轮中文自然度/日式直译修正
game_t03167,090_UAF_DAY99_01.egpack,,というより音紋観測だなんて、\wあいつはＢＥＴＡ襲来の可能性を排除してなかったってことだよな…\w…\w。,不如说进行音纹观测，那家伙没有排除BETA来袭的可能性啊……,不如说特意做音纹观测，就说明那家伙没有排除BETA来袭的可能性啊……,第二轮中文自然度/日式直译修正
game_t03320,090_UAF_DAY99_01.egpack,,この数…\w…\w俺たちが大規模作戦を組むときの敵と変わらないじゃないか…\w…\w！,这个数量……和我们进行大规模作战时的敌人没什么区别……！,这个数量……和我们组织大规模作战时的敌人没什么区别……！,第二轮中文自然度/日式直译修正
game_t03394,090_UAF_DAY99_02.egpack,,「――突撃級７、\w防衛線を突破し接近中。本艦までの距離約１１０００！」,「——突击级7，突破防线接近中。距离本舰约11000！」,「——7只突击级突破防线接近中。距离本舰约11000！」,第二轮中文自然度/日式直译修正
game_t03495,090_UAF_DAY99_03.egpack,,「バスター７撃墜を確認。ブラウン少尉、\wオオシマ少尉をＫＩＡと認定」,「确认破坏者7被击坠。布朗少尉、大岛少尉认定为KIA。」,「确认破坏者7被击坠。布朗少尉、大岛少尉判定为KIA。」,第二轮中文自然度/日式直译修正
game_t03557,090_UAF_DAY99_03.egpack,,「バスター３撃墜を確認。ジーン・カミンスキー中尉、\wデニス・モンロー少尉をＫＩＡと認定」,「确认破坏者3被击坠。吉恩·卡明斯基中尉、丹尼斯·门罗少尉认定为KIA。」,「确认破坏者3被击坠。吉恩·卡明斯基中尉、丹尼斯·门罗少尉判定为KIA。」,第二轮中文自然度/日式直译修正
game_t00038,020_UAF_DAY91_01.egpack,,延々と続く海岸線、\w見渡す限りの塩の砂漠。人類の存在を示す代物が欠片も無い世界が広がっている。,延绵不绝的海岸线，一望无际的盐沙漠。展现人类存在痕迹的事物一丝也无的世界铺展开来。,延绵不绝的海岸线，一望无际的盐沙漠。眼前是一片没有半点人类存在痕迹的世界。,中文自然度修正：避免日式名词堆叠
game_t00053,020_UAF_DAY91_01.egpack,ダリル,「――更新確認。こちらも異常なしだ」,「——确认更新。这边也没有异常。」,「——更新已确认。这边也没有异常。」,中文自然度修正：军事确认句序更自然
game_t00060,020_UAF_DAY91_01.egpack,ダリル,「オージーとインドも複雑だしねえ…\w…\w。そう見られた方が彼女にとって得なんだろうよ」,「澳洲和印度也很复杂呢……被那样看待对她来说更有利吧。」,「澳洲和印度之间也很复杂呢……让别人这么看，对她来说反而有利吧。」,中文自然度修正：避免“被那样看待”的硬译
game_t00087,020_UAF_DAY91_01.egpack,ダリル,「まったく…\w…\w、\w合衆国の正規母艦様がこんなモノに頼らなきゃいけないとはねえ」,「真是的……，合众国的正规母舰大人居然不得不依赖这种东西啊」,「真是的……合众国的正规母舰大人居然不得不依赖这种东西啊」,标点自然度修正：去除省略号后的日式句号/逗号
game_t00101,020_UAF_DAY91_01.egpack,ウィル,「起動完了しました。広帯域モードで中継開始しま――」,「启动完毕。开始以宽带模式进行中继——」,「启动完毕。开始宽带模式中继——」,中文自然度修正：去掉“进行”硬译
game_t00115,020_UAF_DAY91_01.egpack,ダリル,「進出可能半径内につき、\wナイヴス両機による直接確認の許可を願う！」,「在可进入半径内，请求允许黑刃两机直接确认！」,「已在可行动半径内，请求允许黑刃两机直接确认！」,中文自然度修正：进出可能半径内改为可行动半径内
