sample_no,sample_group,group_label,call_order,egpack,xml,scene,id,speaker_id,speaker_jp,jp,hit_terms,has_ruby_attr,cn_final,review_status,uncertain_for_user
11,opening_daily,??????,230,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00229,game_s00005,ダリル,「今体温を調べてる。どっちにしても強化装備を戦術機に繋いでやる方が早いだろう」,ダリル=>达里尔,no,「正在测体温。不管怎样，还是把强化装备接到战术机上更快吧」,auto_fixed,
12,opening_daily,??????,231,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00230,game_s00005,ダリル,「バイタル、\wそっちにも回すよ」,ダリル=>达里尔,no,「生命体征，\w也转发给你。」,auto_fixed,
13,opening_daily,??????,232,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00231,game_s00005,ダリル,「軽く発熱してる、\wか。けどこの程度なら感染症の心配はなさそうだね」,ダリル=>达里尔,no,「轻微发热，\w吗。不过这个程度应该不用担心感染症」,auto_fixed,
14,opening_daily,??????,233,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00232,,,やっぱりそうか…\w…\wでも一安心だ,,no,果然如此…\w…\w但也算松了一口气。,auto_fixed,
15,opening_daily,??????,234,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00233,,,であれば…\w…\w。,,no,这样的话…\w…\w。,auto_fixed,
16,opening_daily,??????,235,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00234,game_s00005,ダリル,「…\w…\wウィル、\w輸液はいいからドリンクパック寄越しな」,ウィル=>威尔; ダリル=>达里尔; リンク=>链路,no,「…\w…\w威尔，\w输液就算了，把饮料包拿来」,auto_fixed,
17,opening_daily,??????,236,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00235,,,わかってますよ、\wと。,,no,我知道，\w啦。,auto_fixed,
18,opening_daily,??????,237,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00236,game_s00001,ウィル,「アイ。…\w…\wどうぞ、\w飲まれますか？」,ウィル=>威尔,no,「明白。…\w…\w请，\w要喝吗？」,auto_fixed,
19,opening_daily,??????,238,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00237,game_s00011,リリア,「いただきます…\w…\wありがとう…\w…\w」,リリア=>莉莉娅,no,「我喝…\w…\w谢谢…\w…\w」,auto_fixed,
20,opening_daily,??????,239,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00238,game_s00005,ダリル,「簡易バイタルチェックを掛けてるけど…\w…\w外傷もないみたいだし、\w帰還まで差し迫った問題はなさそうね」,ダリル=>达里尔,no,「我正在做简易生命体征检查…\w…\w看起来也没有外伤，\w到返航前应该没有迫切问题」,auto_fixed,
21,opening_daily,??????,240,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00239,game_s00001,ウィル,「良かった…\w…\wもう大丈夫ですよ、\wえーと、\wリリア…\w…\w」,リリア=>莉莉娅; ウィル=>威尔,no,「太好了…\w…\w已经没事了，\w那个，\w莉莉娅…\w…\w」,auto_fixed,
22,opening_daily,??????,241,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00240,,,さっき苗字までは聞き取れなかったんだよな。,,no,刚才没听清姓氏。,auto_fixed,
23,opening_daily,??????,242,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00241,game_s00011,リリア,「…\w…\w第２６海兵戦術機甲群所属、\wリリア・シェルベリ少尉です。座ったまま失礼します」,リリア・シェルベリ=>莉莉娅·谢尔贝里; リリア・シェル=>莉莉娅·谢尔; シェルベリ=>谢尔贝里; リリア=>莉莉娅; 少尉=>少尉,no,「…\w…\w隶属于第26海军陆战队战术机甲群，\w我是莉莉娅·谢尔贝里少尉。恕我坐着失礼了。」,auto_fixed,
24,opening_daily,??????,243,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00242,game_s00001,ウィル,「第３１８海兵戦術機隊、\w\nウィルバート・コリンズ少尉です」,ウィルバート・コリンズ=>威尔伯特·柯林斯; 第３１８海兵戦術機隊=>第318海军陆战队战术机队; 海兵戦術機隊=>海军陆战队战术机队; 戦術機隊=>战术机队; コリンズ=>柯林斯; ウィル=>威尔; 少尉=>少尉,no,「第318海军陆战队战术机队，\w\n威尔伯特·柯林斯少尉。」,auto_fixed,
25,opening_daily,??????,244,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00243,game_s00005,ダリル,「同じく、\wダリル・マクマナス中尉だ。今は二人とも海軍の第３母艦付きだけどね」,ダリル・マクマナス=>达里尔·麦克马纳斯; マクマナス中尉=>麦克马纳斯中尉; マクマナス=>麦克马纳斯; ダリル=>达里尔; 中尉=>中尉; 海軍=>海军; 母艦=>母舰,yes,「同样，\w我是达里尔·麦克马纳斯中尉。不过，现在我们俩都隶属于海军第三母舰。」,auto_fixed,
26,opening_daily,??????,245,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00244,game_s00011,リリア,「第３母艦…\w…\wジョン・Ｆ・ケネディ！　ああ、\w助かった…\w…\w！」,ジョン・Ｆ・ケネディ=>约翰·F·肯尼迪; ケネディ=>肯尼迪; リリア=>莉莉娅; 母艦=>母舰,no,「第3母舰…\w…\w约翰·F·肯尼迪！　啊，\w得救了…\w…\w！」,auto_fixed,
27,opening_daily,??????,246,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00245,,,助かった、\wか…\w…\w。,,no,得救了，\w吗…\w…\w。,auto_fixed,
28,opening_daily,??????,247,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00246,,,さすがは合衆国の正規母艦様、\w名前だけでこのリアクションだ。あれに拾われればそりゃ助かる…\w…\wと思うだろう。,合衆国=>合众国; 母艦=>母舰,no,不愧是合众国的正规母舰，\w只报个名字就有这种反应。被它捞到的话，当然会觉得得救了…\w…\w。,auto_fixed,
29,opening_daily,??????,248,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00247,,,…\w…\wまあ、\wその考えは現状、\w半分しか当たってないんだけどな。,,no,…\w…\w不过，\w这种想法就现状来说，\w只说中了一半。,auto_fixed,
30,opening_daily,??????,249,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00248,game_s00005,ダリル,「そっちの第２６ってことは…\w…\wフィリピンからかい？　艦は？」,フィリピン=>菲律宾; ダリル=>达里尔,no,「你那边是第26的话…\w…\w从菲律宾来的？舰呢？」,auto_fixed,
31,opening_daily,??????,250,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00249,game_s00011,リリア,「あ…\w…\wそうだ、\wこんな話してる場合じゃ…\w…\w！」,リリア=>莉莉娅,no,「啊…\w…\w对了，\w现在也许不是说这种话的时候…\w…\w！」,auto_fixed,
32,opening_daily,??????,251,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00250,,,え…\w…\w？,,no,咦…\w…\w？,auto_fixed,
33,opening_daily,??????,252,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00251,game_s00011,リリア,「すみません、\w捜索隊の手配をお願いします…\w…\w！　他にも救命艇が脱出してるはずなんです！」,リリア=>莉莉娅; 捜索隊=>搜索队,no,「不好意思，\w请安排搜索队…\w…\w！　其他救生艇应该也逃出来了！」,auto_fixed,
34,opening_daily,??????,253,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00252,,,おいおい、\w本当に無茶する奴だな！　しかも急に…\w…\w。,,no,喂喂，\w真是个乱来的家伙！而且突然…\w…\w。,auto_fixed,
35,opening_daily,??????,254,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00253,game_s00005,ダリル,「だから無理するなって言ってるだろう…\w…\w一体どうしたんだい！？」,ダリル=>达里尔,no,「所以我才说别勉强吧…\w…\w到底怎么了！？」,auto_fixed,
36,opening_daily,??????,255,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00254,game_s00011,リリア,「船は海軍の『シアトル』で脱出してたんですが…\w…\w機関部をやられて漂流してたんです」,シアトル=>西雅图; リリア=>莉莉娅; 海軍=>海军,no,「我们是搭海军的『西雅图』号撤出来的…\w…\w可是机舱受损后一直漂流。」,auto_fixed,
37,opening_daily,??????,256,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00255,game_s00011,リリア,「補給艦でしたから物資には困らなかったんですが、\w５日前に嵐で…\w…\w」,リリア=>莉莉娅; 物資=>物资,no,「因为是补给舰，物资上倒是不缺，\w但5天前遇上风暴…\w…\w」,auto_fixed,
38,opening_daily,??????,257,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00256,game_s00001,ウィル,「…\w…\w…\w…\w」,ウィル=>威尔,no,「…\w…\w…\w…\w」,auto_fixed,
39,opening_daily,??????,258,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00257,,,そうか…\w…\wあの日から長いこと漂流した上で、\wさらに遭難したってわけか。キツいな…\w…\w。,,no,是吗…\w…\w从那天开始漂流了那么久，\w然后又遇难了啊。真够难受的…\w…\w。,auto_fixed,
40,opening_daily,??????,259,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00258,game_s00011,リリア,「元々浸水区画が多かったんで、\w許容応力を超えたんだと思います。それで、\w一気に浸水が進んで…\w…\w」,リリア=>莉莉娅,no,「原本浸水区就多，\w我觉得是超过了容许应力。然后，\w一下子就淹过来了…\w…\w」,ok,
41,opening_daily,??????,260,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00259,game_s00011,リリア,「…\w…\wとっさに強化装備をつかんで救命艇に飛び乗るのがやっとで…\w…\w」,リリア=>莉莉娅,no,「…\w…\w情急之下抓起强化装备，跳上救生艇就已经拼尽全力…\w…\w」,auto_fixed,
42,opening_daily,??????,261,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00260,game_s00005,ダリル,「…\w…\w…\w…\w」,ダリル=>达里尔,no,「…\w…\w…\w…\w」,auto_fixed,
43,opening_daily,??????,262,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00261,game_s00011,リリア,「でも、\w他にも何隻かボートが展開したのは目撃してるんです！　他の救命艇はすぐに離れてはぐれてしまいましたけど…\w…\w」,リリア=>莉莉娅,no,「但是，\w我确实看到还有其他几艘小艇被放下来了！其他救生艇很快就离开，后来就走散了…\w…\w」,auto_fixed,
44,opening_daily,??????,263,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00262,,,…\w…\w…\w…\w！,,no,…\w…\w…\w…\w！,auto_fixed,
45,opening_daily,??????,264,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00263,,,そういうことか…\w…\wと言うより、\w当然だよな。救命艇が１隻だけなワケがない。,,no,原来如此…\w…\w不如说，\w这是当然的。救生艇不可能只有一艘。,auto_fixed,
46,opening_daily,??????,265,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00264,,,でも…\w…\w。,,no,可是…\w…\w。,auto_fixed,
47,opening_daily,??????,266,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00265,game_s00011,リリア,「お願いです！　今から捜索すればきっとまだ――！」,リリア=>莉莉娅; まだ=>还,no,「拜托了！　现在开始搜索的话一定还――！」,auto_fixed,
48,opening_daily,??????,267,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00266,game_s00001,ウィル,「…\w…\w…\w…\w」,ウィル=>威尔,no,「…\w…\w…\w…\w」,auto_fixed,
49,opening_daily,??????,268,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00267,game_s00005,ダリル,「…\w…\w…\w…\w」,ダリル=>达里尔,no,「…\w…\w…\w…\w」,auto_fixed,
50,opening_daily,??????,269,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00268,,,…\w…\wここは、\w隊長に切り出してもらった方がいいな…\w…\w。上からの台詞にした方がまだ受け入れやすいだろう…\w…\w。,隊長=>队长; まだ=>还,no,…\w…\w这里，\w还是让队长开口比较好…\w…\w。由上级来说，她应该还更容易接受…\w…\w。,auto_fixed,
51,battle_comms_command,??/??/??,20,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00019,,,―\w―\w変わらぬ空を、\w今日も飛ぶ。,,no,―\w―\w一成不变的天空，\w今天也继续飞行。,auto_fixed,
52,battle_comms_command,??/??/??,21,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00020,game_s00014,少尉,「…\w…\wナイヴス２よりナイヴス１。予定地点到達まで後１２０秒」,ナイヴス２=>黑刃2; ナイヴス１=>黑刃1; ナイヴス=>黑刃; 少尉=>少尉,no,「…\w…\w黑刃2呼叫黑刃1。距离抵达预定地点还有120秒」,auto_fixed,
53,battle_comms_command,??/??/??,22,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00021,game_s00012,中尉,「ナイヴス１了解。減速を開始する。測地準備に入れ」,ナイヴス１=>黑刃1; ナイヴス=>黑刃; 中尉=>中尉,no,「黑刃1收到。开始减速。进入测地准备」,auto_fixed,
54,battle_comms_command,??/??/??,23,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00022,game_s00014,少尉,「ナイヴス２了解」,ナイヴス２=>黑刃2; ナイヴス=>黑刃; 少尉=>少尉,no,「黑刃2，了解。」,auto_fixed,
55,battle_comms_command,??/??/??,24,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00023,game_s00014,少尉,「…\w…\w…\w…\w」,少尉=>少尉,no,「…\w…\w…\w…\w」,auto_fixed,
56,battle_comms_command,??/??/??,25,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00024,,,滑らかに、穏やかに―\w―,,no,平滑地，平稳地―\w―,auto_fixed,
57,battle_comms_command,??/??/??,26,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00025,,,…\w…\wよし、\w特に問題ないな。,,no,…\w…\w好，\w没什么问题。,auto_fixed,
58,battle_comms_command,??/??/??,27,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00026,game_s00014,少尉,「対地光学映像記録完了、\wＧＰＳ照合に回します。…\w…\w元の座標データじゃ深海層か」,ＧＰＳ=>GPS; 少尉=>少尉,no,「对地光学影像记录完毕，\w转入GPS核对。…\w…\w原始坐标数据显示是深海层吗？」,auto_fixed,
59,battle_comms_command,??/??/??,28,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00027,game_s00012,中尉,「ナイヴス１了解。こちらも記録を完了した。誤差はないようだ」,ナイヴス１=>黑刃1; ナイヴス=>黑刃; 中尉=>中尉,no,「黑刃1收到。这边也完成记录了。看来没有误差」,auto_fixed,
60,battle_comms_command,??/??/??,29,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00028,game_s00012,中尉,「悪くない飛び方だったな、\wウィル。滑らかに穏やかに」,ウィル=>威尔; 中尉=>中尉,no,「飞得不错啊，\w威尔。平滑而平稳」,auto_fixed,
61,battle_comms_command,??/??/??,30,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00029,game_s00012,中尉,「女を扱うように優しくするんだ。貴様のようなガサツな奴は女にも戦術機にも嫌われるぞ」,中尉=>中尉,yes,「要像对待女人一样温柔地对待它。像你这样粗鲁的家伙，既会被女人讨厌，也会被战术机讨厌的哦。」,ok,
62,battle_comms_command,??/??/??,31,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00030,,,やれやれ…\w…\wうまく飛んでも結局『坊や』扱いは変わらずか。,,no,真是的…\w…\w就算飞得好，结果还是被当成『小子』啊。,auto_fixed,
63,battle_comms_command,??/??/??,32,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00031,game_s00001,ウィル,「了解です、\wマクマナス中尉。――中尉を扱うように丁寧に心掛けます」,マクマナス中尉=>麦克马纳斯中尉; マクマナス=>麦克马纳斯; ウィル=>威尔; 中尉=>中尉,no,「明白，\w麦克马纳斯中尉。――我会像对待中尉一样小心谨慎地对待。」,ok,
64,battle_comms_command,??/??/??,33,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00032,game_s00009,マクマナス中尉,「…\w…\wなんだ？　帰投したらご褒美が欲しいのか？」,マクマナス中尉=>麦克马纳斯中尉; マクマナス=>麦克马纳斯; 中尉=>中尉,no,「…\w…\w怎么？返航后想要奖励吗？」,auto_fixed,
65,battle_comms_command,??/??/??,34,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00033,game_s00001,ウィル,「謹んで遠慮申し上げます、\wマム」,ウィル=>威尔,no,「恕我郑重拒绝，长官」,自动修正,
66,battle_comms_command,??/??/??,35,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00034,game_s00009,マクマナス中尉,「いい返事だウィル。よく分かったよ、\wおまえがまったく分かっちゃいないってことがね」,マクマナス中尉=>麦克马纳斯中尉; マクマナス=>麦克马纳斯; ウィル=>威尔; 中尉=>中尉,no,「回答得不错，威尔。我明白了，\w换句话说，你根本没明白」,auto_fixed,
67,battle_comms_command,??/??/??,36,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00035,,,とはいえ、\w単調で気の滅入る任務の最中、\wこういう軽口は正直ありがたい。,,no,话虽如此，\w在这单调又令人郁闷的任务中，\w这种玩笑老实说挺让人感激的。,auto_fixed,
68,battle_comms_command,??/??/??,37,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00036,game_s00001,ウィル,「――にしても、\wこっちも代わり映えしない光景ですね。…\w…\w分かっちゃいましたが、\wその…\w…\w」,ウィル=>威尔,no,「话说回来，\w这边也还是一成不变的景象呢。…\w…\w虽然我已经明白了，\w那个…\w…\w」,auto_fixed,
69,battle_comms_command,??/??/??,38,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00037,,,何度見ても気の滅入る風景だ。,,no,无论看多少次，都是令人沮丧的景象。,auto_fixed,
70,battle_comms_command,??/??/??,39,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00038,,,延々と続く海岸線、\w見渡す限りの塩の砂漠。人類の存在を示す代物が欠片も無い世界が広がっている。,,no,无尽延伸的海岸线，\w放眼望去尽是盐之沙漠。眼前展开的是一个没有半点人类存在痕迹的世界。,auto_fixed,
71,battle_comms_command,??/??/??,40,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00039,game_s00009,マクマナス中尉,「おやおや、\w泣き言には早すぎだねえ少尉」,マクマナス中尉=>麦克马纳斯中尉; マクマナス=>麦克马纳斯; 少尉=>少尉; 中尉=>中尉,no,「哎呀哎呀，\w现在就诉苦还太早了吧，少尉。」,auto_fixed,
72,battle_comms_command,??/??/??,41,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00040,game_s00001,ウィル,「泣き言ではありません。感想です」,ウィル=>威尔,no,「这不是牢骚，只是感想。」,auto_fixed,
73,battle_comms_command,??/??/??,42,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00041,game_s00009,マクマナス中尉,「ほう、\wこのダリル姐さんに向かって言うじゃないか」,マクマナス中尉=>麦克马纳斯中尉; マクマナス=>麦克马纳斯; ダリル=>达里尔; 中尉=>中尉,no,「哦，\w你敢这么跟达里尔姐说啊」,auto_fixed,
74,battle_comms_command,??/??/??,43,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00042,game_s00001,ウィル,「上官への正しい助言は部下の責務であります、\wマム」,ウィル=>威尔,no,「向上官提出正确建议是部下的职责，长官」,自动修正,
75,battle_comms_command,??/??/??,44,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00043,game_s00005,ダリル,「やれやれ。何を期待してたか知らないがアタシゃ何も変わらん方が安心するね。全ては予想の範疇内、\wなべて世は事もなし、\wってな」,ダリル=>达里尔,no,「哎呀呀。虽然不知道你在期待什么，不过对我来说，什么都不变才更安心。一切都在预料之中，\w天下太平，\w就是这么回事。」,auto_fixed,
76,battle_comms_command,??/??/??,45,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00044,game_s00001,ウィル,「…\w…\w…\w…\w」,ウィル=>威尔,no,「…\w…\w…\w…\w」,auto_fixed,
77,battle_comms_command,??/??/??,46,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00045,game_s00005,ダリル,「しかし、\wオマエの台詞も分からんでもない。最近はお船も網に掛からんが、\wこれっきりで打ち止めとは思いたくないからねえ」,ダリル=>达里尔,no,「不过，\w你说的话我也不是不能理解。最近船也没进网，\w但我可不想认为到这就结束了」,auto_fixed,
78,battle_comms_command,??/??/??,47,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00046,game_s00001,ウィル,「諦めたくないんですよ、\w俺はまだ」,ウィル=>威尔; まだ=>还,no,「我还不想放弃。」,auto_fixed,
79,battle_comms_command,??/??/??,48,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00047,game_s00005,ダリル,「誰も諦めたかないさ。だからこそアタシらはここにいる。でも忘れるんじゃないよ、\w『無事に帰る』のも任務だよ」,ダリル=>达里尔,no,「谁都不想放弃。所以我们才会在这里。但别忘了，\w『平安回去』也是任务」,auto_fixed,
80,battle_comms_command,??/??/??,49,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00048,game_s00001,ウィル,「アイマム。\wもちろんです」,ウィル=>威尔,no,「是，长官。当然」,自动修正,
81,battle_comms_command,??/??/??,50,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00049,,,無事に帰りたいが、\w何かがあって欲しい。,,no,我想平安回去，\w但也希望能发生点什么。,auto_fixed,
82,battle_comms_command,??/??/??,51,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00050,,,もちろん別にトラブルが欲しいってわけじゃない。,トラブル=>麻烦,no,当然，我并不是想要什么麻烦。,auto_fixed,
