file,id,jp,zh_deepseek
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00030,「――了解。今日はありがとう。…\w…\wお陰で希望が持てた」,「——了解。今天谢谢了。……托你的福，有了希望」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00031,「あら、\wもういいの？　まだおしゃべりに付き合うことはできるわよ？」,「哎呀，这就够了？我还能陪你多聊一会儿哦？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00032,「ありがたいが、\w実はさっきから外壁の警告ランプがついていてね。デブリの接触だと思うが、\wチェックしないと」,「感谢你的好意，不过其实从刚才开始外壁的警告灯就在闪了。大概是碎片的碰撞吧，但不去检查可不行。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00033,「そう…\w…\wあ、\wあと古い映画だけどデータを送信しておいたから、\w時間潰しにどうぞ」,「这样啊……啊，对了，我发了一部老电影的数据过去，可以用来打发时间。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00034,「おいおい、\wありがたいが連邦法でとっ捕まるのはごめんだぞ」,「喂喂，多谢好意，但我可不想被联邦法抓走啊。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00035,「ＦＢＩだって見逃してくれるわよ、\wこんな時だもの」,「这种时候连FBI都会睁一只眼闭一只眼的啦。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00036,「感謝する――それじゃ」,「那就谢了——回头见。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00037,「ええ、\wＯＳＰ－１４００。こちら北米航空宇宙防衛司令部、\w通信終わる」,「好的，OSP-1400。这里是北美防空司令部，通信结束。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00038,「…\w…\w…\w…\w」,「…………」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00039,「――サン・ニコラ、\wこちらカリブー、\w通信求む」,「——圣尼古拉斯，这里是卡里布，请求通信。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00040,「――サン・ニコラ、\wこちらカリブー、\w通信求む。繰り返す、\wサン・ニコラ、\wこちらカリブー、\w通信求む」,「——圣尼古拉斯，这里是卡里布，请求通信。重复，圣尼古拉斯，这里是卡里布，请求通信。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00041,「――サン・ニコラ、\wこちらカリブー、\w聞こえないのか？」,「——圣尼古拉斯，这里是卡里布，听不到吗？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00042,「…\w…\wブ…\w…\w、\wこち…\w…\wラ。聞こ…\w…\wる…\w…\w」,「……布……，这里是……拉。听……得到……」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,tda03_t00043,「サン・ニコラ、\wこちらカリブー。情報を入手した。例の話について相談したい」,「圣尼古拉斯，这里是卡里布。我得到了情报。想谈谈那件事。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00044,「…\w…\w…\w…\w」,「…………」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00045,「…\w…\w駄目だ」,「……不行啊」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00046,「――！」,「——！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00047,「そんなとこ…\w…\w舐め…\w…\wぞ…\w…\w…\w…\w」,「那种地方……要舔……哦…………」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00048,「…\w…\w…\w…\w」,「…………」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00049,「…\w…\wこれは…\w…\wお仕置き…\w…\w…\w…\w」,「……这是……惩罚…………」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00050,「他意はない…\w…\wふひ…\w…\wふ…\w…\wへ…\w…\w…\w…\w」,「没有别的意思……呼嘻……呼……嘿…………」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00051,「さぁ…\w…\wこっちに…\w…\wくるんだ…\w…\w」,「来吧……给我……过来……」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00052,「…\w…\w気持ち悪い」,「……真恶心」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00053,「時間がない。急ぐわよ」,「没时间了。快点。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00054,「――確保完了ッ！」,「——目标确保完毕！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00055,「むご…\w…\wッ！？」,「唔咕……！？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00056,「脱出ッ！」,「撤退！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00057,「モゴッ！？　モゴモゴモゴォ～！？」,「唔咕！？ 唔咕唔咕唔咕～！？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00058,「モモモモモモォ～！？　モッ！？　モモモォ～！？」,「唔唔唔唔唔唔～！？ 唔！？ 唔唔唔～！？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00059,「暴れるな、\wこの――！」,「别乱动，你这家伙——！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00060,「後頭部をぶん殴って気絶させましょう！」,「把他后脑勺打晕过去吧！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00061,「最悪、\w死んでも構わんぞ！！」,「最坏情况下，死了也没关系！！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00062,「龍浪中尉、\w千堂です！　今何か物音が！　中尉、\w起きていらっしゃいますか！？」,「龙浪中尉，我是千堂！刚才有什么响声！中尉，您醒着吗！？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00063,「ちっ――！　脱出ッ！」,「切——！撤退！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00064,「はぁッ――！」,「哈――！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00065,「――龍浪中尉ッ！」,「――龙浪中尉！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00066,「こ、\wこの煙は一体っ！？」,「这、这股烟是怎么回事！？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00067,「いない…\w…\w？　そんな――！？」,「不在……？怎么会――！？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00068,「どうしたのよ、\wこんな夜中に？　夜這いにしては騒ぎすぎ…\w…\wあら？」,「大半夜的，搞什么呢？要是夜袭也未免太吵了吧……哎呀？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00069,「うぇ！？　ド、\wドアが壊れてますよ…\w…\w？」,「哇！？门、门坏掉了……？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00070,「た、\w龍浪中尉が――」,「龙、龙浪中尉他――」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00071,「恐れをなして逃げ出した？　ちょっとぉ、\wどんな迫り方したのよぅ…\w…\w」,「吓得逃走了？哎呀，你到底是怎样扑上去的呀……」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00072,「違いますっ！」,「不是的！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00073,「柚香じゃないなら松風中尉でしょ。飲みにでも連れ出したんじゃないの？」,「不是柚香的话，那就是松风中尉吧。是不是带他去喝酒了？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00074,「普通の人は、\w窓ガラス割って飲みになんか行きません！」,「正常人不会破窗而去喝酒吧！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00075,「普通の人は、\w斧でドアをぶち破ったりしないわよ？」,「正常人也不会用斧头劈开房门吧？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00076,「う…\w…\w」,「唔……」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00077,「残念だけど普通じゃないのよね～、\wあんたたち」,「可惜啊，你们都不是正常人～」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00078,「な…\w…\w何を他人事みたいに――」,「你……你说得好像与你无关似的――」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00079,「あははは…\w…\w…\w…\wは？」,「啊哈哈哈…………嗯？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00080,「あれ～、\wこれなんでしょう？　何か書いてありますよ？」,「哎呀～这是什么？好像写着什么？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00081,「――み、\w見せてください！」,「――给、给我看看！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00082,「なんて書いてあるんですか～？」,「上面写着什么呀～？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00083,「…\w…\w…\w…\w」,「…………」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00084,「ユズカ…\w…\w？」,「柚香……？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00085,「それが…\w…\w龍浪中尉は預かった。あまり触れたくないので、\w用が済んだら、\w早めに返却しますって…\w…\w」,「写的是……龙浪中尉我们带走了。不想多碰他，事情办完就尽早归还。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00086,「…\w…\w…\w…\w」,「…………」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00087,「大丈夫みたいね」,「看来没事呢。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00088,「ですねー」,「是啊～」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00089,「えぇっ！？」,「哎！？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00090,「だって、\w用が済んだら返しますって書いてあるんじゃないの？」,「因为上面不是写着办完事就还吗？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00091,「問題はそこじゃありません！！」,「问题不在这里！！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00092,「ふぁ…\w…\w寝よ寝よ。シズク、\wそっちのベッド使っていい？」,「哈啊……睡吧睡吧。雫，我用那边的床可以吗？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00093,「またですか？　も～、\wちゃんと枕持ってきてくださいですよ～」,「又来了？真是的～请好好把自己的枕头拿过来啦～」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00094,「ち、\wちょっと！　中尉はあれでも一応英雄なんですから！　命が狙われる可能性だって――」,「等、等一下！中尉他再怎么说也是个英雄啊！说不定有人要谋害他的性命――」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00095,「どこの世界にこんな派手なことをする暗殺者がいるのよ～。ていうか『あれでも一応』って、\wヒビキかわいそー」,「哪个世界的暗杀者会这么大张旗鼓啊～。话说『再怎么说』这个词，响好可怜啊。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00096,「そ、\wそれは…\w…\w」,「那、那是……」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00097,「じゃあね～。あ、\wドアと窓のことはちゃんと報告しときなさいよ。そのままだとヒビキのせいになっちゃうわよ」,「那就再见啦～。啊，门窗的事记得好好报告哦。放着不管会害到响的。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00098,「…\w…\w…\w…\w」,「…………」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_01：夜・響の部屋.egpack,tda03_t00099,「んもう龍浪中尉ッ！　一体どこで誰と何やってるんですか～～ッ！！」,「真是的龙浪中尉！！ 你到底在哪里跟谁在干什么啊～～！！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_02：夜・悠陽との謁見.egpack,tda03_t00100,「……あの～、もうそろそろ縄を解いていただけないでしょうかね～？」,「……那个～，差不多可以帮我解开绳子了吗～？」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_02：夜・悠陽との謁見.egpack,tda03_t00101,「駄目だ」,「不行。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_02：夜・悠陽との謁見.egpack,tda03_t00102,「それじゃあ、せめてどうしてこんな無茶苦茶なことをしたのか、ご説明を……」,「那至少给我解释一下为什么要做这种荒唐事吧……」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_02：夜・悠陽との謁見.egpack,tda03_t00103,「必要無い」,「没必要。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_02：夜・悠陽との謁見.egpack,tda03_t00104,「ですよね～？　いやいや！！　でもきっと今頃大騒ぎですよ！　特に隣の部屋には――」,「我就知道～？ 不不！！ 但现在肯定闹翻天了！ 尤其是隔壁房间的——」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_02：夜・悠陽との謁見.egpack,tda03_t00105,「心配無用」,「不必担心。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_02：夜・悠陽との謁見.egpack,tda03_t00106,「いやいやいや！！！　そうも言ってられませんって！」,「不不不！！！ 这话可不能这么说啊！」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_02：夜・悠陽との謁見.egpack,tda03_t00107,「……まったくうるさい奴だな。よいか、これは全て意図的に行ったものなのだ」,「……真是吵死人的家伙。听好了，这一切都是有意为之的。」
outputs\tda_fpd_extract\tda03\root\assets\data_spec\adv\game\scr\localized\2005年12月27日_02：夜・悠陽との謁見.egpack,tda03_t00108,「……へ？」,「……哈？」
