category,term,count,suggested_cn,suggestion_status,covered_by_existing_glossary,existing_targets,first_call_order,first_egpack,first_id,first_speaker_jp,first_context_jp,decision,confirmed_translation,note
katakana_callsign_or_unit,ナイヴス３,30,黑刃3,建议,yes,黑刃3,1251,040_UAF_DAY94_01.egpack,game_t01250,リリア,「――ナイヴス３、\w予備システム、\w起動します」,,黑刃3,
kanji_person_or_rank_name,艦長,26,舰长,沿用已有,yes,舰长,583,030_UAF_DAY93_01.egpack,game_t00582,ウィル,「あ、\wああ、\wえーと…\w…\w。まずは艦長がお会いになるとのことで、\w自分が案内を命じられております」,,舰长,
kanji_place_or_military_org,海兵隊員,23,海军陆战队员,沿用已有,yes,海军陆战队员,87,020_UAF_DAY91_01.egpack,game_t00086,,海兵隊員、\w第３１８戦術機隊は諦めない、\wだ。,,海军陆战队员,
katakana_foreign_word,ソルティ・ベース,19,索尔蒂基地,沿用已有,yes,索尔蒂基地,113,020_UAF_DAY91_01.egpack,game_t00112,ダリル,「ナイヴス１よりソルティ・ベース、\w聞こえるかい？」,,索尔蒂基地,
katakana_person,リリア・シェルベリ,19,莉莉娅·谢尔贝里,沿用已有,yes,莉莉娅·谢尔贝里,242,020_UAF_DAY91_01.egpack,game_t00241,リリア,「…\w…\w第２６海兵戦術機甲群所属、\wリリア・シェルベリ少尉です。座ったまま失礼します」,,莉莉娅·谢尔贝里,
katakana_foreign_word,シェルベリ,18,谢尔贝里,沿用已有,yes,谢尔贝里,284,020_UAF_DAY91_01.egpack,game_t00283,ダリル,「アタシらも漂流の身なのさ。シェルベリ少尉よりは遥かにマシだろうけどね」,,谢尔贝里,
katakana_foreign_word,シドニー,18,悉尼,沿用已有,yes,悉尼,720,030_UAF_DAY93_01.egpack,game_t00719,オールストン准将,「シドニー側指揮官と協議の結果、\w一時的に多国籍軍を編成、\w彼らもまた我々の指揮下に入る事になった」,,悉尼,
kanji_place_or_military_org,海軍,17,海军,沿用已有,yes,海军,84,020_UAF_DAY91_01.egpack,game_t00083,ダリル,「そりゃ設置するまでの話だ。わざわざ推進剤噴かして据え付けたんだ。当たりを引きゃあ海軍の連中にも顔が立つ。違うかい？」,,海军,
katakana_foreign_word,ハワイ,16,夏威夷,沿用已有,yes,夏威夷,452,020_UAF_DAY91_01.egpack,game_t00451,ウィル,「南太平洋…\w…\w。座標で言うとオーストラリアとハワイの中間くらいだ」,,夏威夷,
katakana_person,ダリル,14,达里尔,沿用已有,yes,达里尔,42,020_UAF_DAY91_01.egpack,game_t00041,マクマナス中尉,「ほう、\wこのダリル姐さんに向かって言うじゃないか」,,达里尔,
kanji_place_or_military_org,戦術機部隊,13,战术机部队,沿用已有,yes,战术机部队,764,030_UAF_DAY93_01.egpack,game_t00763,ダリル,「今は海軍サンの戦術機部隊に協力して、\wこないだみたいな探索任務に就いてる、\wってわけ」,,战术机部队,
kanji_place_or_region,合衆国,13,合众国,沿用已有,yes,合众国,88,020_UAF_DAY91_01.egpack,game_t00087,ダリル,「まったく…\w…\w、\w合衆国の正規母艦様がこんなモノに頼らなきゃいけないとはねえ」,,合众国,
kanji_place_or_region,衛星,12,卫星,沿用已有,yes,卫星,854,030_UAF_DAY93_01.egpack,game_t00853,リリア,「はい。…\w…\w艦長からも本艦位置情報のお話がありましたが、\wＧＰＳ衛星は健在なのでしょうか？」,,卫星,
katakana_military_or_foreign,ブルーオーシャン,12,蓝海,沿用已有,yes,蓝海,674,030_UAF_DAY93_01.egpack,game_t00673,オールストン准将,「貴官が今この場所にいる事、\wその事実こそが、\w『ブルーオーシャン作戦』における貴官の勇敢を示すものに他ならない」,,蓝海,
latin_or_acronym,ＧＰＳ,11,GPS,沿用已有,yes,GPS,27,020_UAF_DAY91_01.egpack,game_t00026,少尉,「対地光学映像記録完了、\wＧＰＳ照合に回します。…\w…\w元の座標データじゃ深海層か」,,GPS,
kanji_place_or_military_org,ブルーオーシャン作戦,10,蓝海作战,沿用已有,yes,蓝海作战,674,030_UAF_DAY93_01.egpack,game_t00673,オールストン准将,「貴官が今この場所にいる事、\wその事実こそが、\w『ブルーオーシャン作戦』における貴官の勇敢を示すものに他ならない」,,蓝海作战,
katakana_foreign_word,データリンク,10,数据链,沿用已有,yes,数据链,99,020_UAF_DAY91_01.egpack,game_t00098,,おかげでデータリンクもまともに機能しない――。,,数据链,
katakana_foreign_word,バビロン,9,巴比伦,沿用已有,yes,巴比伦,12,010_UAFプロローグ.egpack,game_t00011,テイラー大将,「北米航空宇宙防衛司令部より国連統合参謀会議へ。『マルドゥークはバビロンの鍵を得たり』」,,巴比伦,
katakana_foreign_word,ビッグ・マム,9,Big Mom,沿用已有,yes,Big Mom,743,030_UAF_DAY93_01.egpack,game_t00742,,来たな、\wビッグ・マムの流儀が。それ自体は俺も気楽でいいんだけどさ…\w…\w。,,Big Mom,
kanji_place_or_military_org,米国人,8,美国人,沿用已有,yes,美国人,837,030_UAF_DAY93_01.egpack,game_t00836,ダリル,「ま、\wどんな状況でも快楽…\w…\wもとい心身の健康を追求するのが米国人のイイとこだよ」,,美国人,
kanji_place_or_region,本国,8,本国,沿用已有,yes,本国,678,030_UAF_DAY93_01.egpack,game_t00677,オールストン准将,「追って説明するが、\w現在我々は、\w未だ本国との連絡に成功していない。すなわち、\wブルーオーシャン作戦は今なお継続中ということである」,,本国,
katakana_callsign_or_unit,ブラック・ナイヴス,8,黑刃,建议,yes,黑刃,153,020_UAF_DAY91_01.egpack,game_t00152,ウィル,「こちら米国海兵隊第３１８戦術歩行戦闘機隊\n『ブラック・ナイヴス』、\w救難信号を受信しました。\n聞こえていたら応答願います」,,黑刃,
katakana_foreign_word,オーストラリア,8,澳大利亚,沿用已有,yes,澳大利亚,63,020_UAF_DAY91_01.egpack,game_t00062,,インドからの難民を大量に受け入れた\nオーストラリアだが、\wその扱いは\n俺たち米国と似たようなもんだ。,,澳大利亚,
katakana_foreign_word,クソ,8,该死,沿用已有,yes,该死,1511,040_UAF_DAY94_01.egpack,game_t01510,,クソッ…\w…\wこれはこれでさっきとは話が別だ。,,该死,
katakana_foreign_word,ゲティスバーグ,8,葛底斯堡,沿用已有,yes,葛底斯堡,3135,090_UAF_DAY99_01.egpack,game_t03134,ダリル,「知っての通り、\w『ゲティスバーグ』『シドニー』『ゴーファー・ステート』のいずれも航行はほぼ不可能だが、\w現在の戦域情報に光線照射警報が出てない事――」,,葛底斯堡,
katakana_foreign_word,ハイヴ,8,HIVE,沿用已有,yes,HIVE,2321,060_UAF_DAY96_01.egpack,game_t02320,メルヴィナ,「あの日――ユーラシア外縁部のハイヴに一斉にＧ弾攻撃が始まって――」,,HIVE,
katakana_foreign_word,ユーラシア,8,欧亚大陆,沿用已有,yes,欧亚大陆,16,010_UAFプロローグ.egpack,game_t00015,テイラー大将,「５４年後、\w彼らに送り届けようではないか――この美しき地球の姿を、\w緑溢れるユーラシアを」,,欧亚大陆,
kanji_place_or_military_org,戦術機隊,7,战术机队,沿用已有,yes,战术机队,87,020_UAF_DAY91_01.egpack,game_t00086,,海兵隊員、\w第３１８戦術機隊は諦めない、\wだ。,,战术机队,
kanji_place_or_region,低軌道衛星,7,低轨道卫星,沿用已有,yes,低轨道卫星,89,020_UAF_DAY91_01.egpack,game_t00088,ウィル,「低軌道衛星がなきゃどうしようもないですよ。ＧＰＳが生きてるだけマシです」,,低轨道卫星,
katakana_callsign_or_unit,バスター１,7,破坏者1,沿用已有,yes,破坏者1,3327,090_UAF_DAY99_01.egpack,game_t03326,バスター１,「バスター１よりナイヴス１。どうした、\w今更臆病風に吹かれたのか？」,,破坏者1,
katakana_foreign_word,シアトル,7,西雅图,沿用已有,yes,西雅图,255,020_UAF_DAY91_01.egpack,game_t00254,リリア,「船は海軍の『シアトル』で脱出してたんですが…\w…\w機関部をやられて漂流してたんです」,,西雅图,
katakana_foreign_word,ブルーオーシャン,7,蓝海,沿用已有,yes,蓝海,755,030_UAF_DAY93_01.egpack,game_t00754,ダリル,「ブルーオーシャンでも海軍とは別個の任務を帯びての乗船だった」,,蓝海,
katakana_foreign_word,レナード,7,伦纳德,沿用已有,yes,伦纳德,1274,040_UAF_DAY94_01.egpack,game_t01273,ウィル,「――悪いな。レナードは機体をかなり振り回す癖があったんだ」,,伦纳德,
katakana_military_or_foreign,ゲティスバーグ,7,葛底斯堡,沿用已有,yes,葛底斯堡,813,030_UAF_DAY93_01.egpack,game_t00812,ダリル,「ん？　ああ、\w巡洋艦が『ゲティスバーグ』、\w輸送艦が『ゴーファー・ステート』」,,葛底斯堡,
katakana_military_or_foreign,シドニー,7,悉尼,沿用已有,yes,悉尼,719,030_UAF_DAY93_01.egpack,game_t00718,オールストン准将,「加えて、\wオーストラリア海軍駆逐艦、\wＨＭＡＳ『シドニー』を発見」,,悉尼,
katakana_military_or_foreign,ハワイ,7,夏威夷,沿用已有,yes,夏威夷,694,030_UAF_DAY93_01.egpack,game_t00693,オールストン准将,「フリゲート艦『ヴァンデグリフト』とハワイを目指したが、\wウェーク島北北東で大海崩に伴う超規模津波に遭遇。直衛艦を失った」,,夏威夷,
katakana_person,ウィルバート・コリンズ,7,威尔伯特·柯林斯,沿用已有,yes,威尔伯特·柯林斯,243,020_UAF_DAY91_01.egpack,game_t00242,ウィル,「第３１８海兵戦術機隊、\w\nウィルバート・コリンズ少尉です」,,威尔伯特·柯林斯,
katakana_ship_or_codename,ジョン・Ｆ・ケネディ,7,约翰·F·肯尼迪,沿用已有,yes,约翰·F·肯尼迪,245,020_UAF_DAY91_01.egpack,game_t00244,リリア,「第３母艦…\w…\wジョン・Ｆ・ケネディ！　ああ、\w助かった…\w…\w！」,,约翰·F·肯尼迪,
kanji_place_or_military_org,フライング・ブーム作戦,6,飞行吊杆作战,沿用已有,yes,飞行吊杆作战,1637,050_UAF_DAY95_01.egpack,game_t01636,ダリル,「この計画――『フライング・ブーム作戦』に\nおいては、\w周辺の捜索活動を行う予定は無い」,,飞行吊杆作战,
kanji_place_or_military_org,戦術歩行戦闘機隊,6,战术步行战斗机队,沿用已有,yes,战术步行战斗机队,153,020_UAF_DAY91_01.egpack,game_t00152,ウィル,「こちら米国海兵隊第３１８戦術歩行戦闘機隊\n『ブラック・ナイヴス』、\w救難信号を受信しました。\n聞こえていたら応答願います」,,战术步行战斗机队,
kanji_place_or_military_org,第３１８戦術歩行戦闘機隊,6,第318战术步行战斗机队,沿用已有,yes,第318战术步行战斗机队,153,020_UAF_DAY91_01.egpack,game_t00152,ウィル,「こちら米国海兵隊第３１８戦術歩行戦闘機隊\n『ブラック・ナイヴス』、\w救難信号を受信しました。\n聞こえていたら応答願います」,,第318战术步行战斗机队,
kanji_place_or_military_org,米国海兵隊第,6,美国海军陆战队第,沿用已有,yes,美国海军陆战队第,153,020_UAF_DAY91_01.egpack,game_t00152,ウィル,「こちら米国海兵隊第３１８戦術歩行戦闘機隊\n『ブラック・ナイヴス』、\w救難信号を受信しました。\n聞こえていたら応答願います」,,美国海军陆战队第,
katakana_callsign_or_unit,ナイヴス,6,黑刃,建议,yes,黑刃,116,020_UAF_DAY91_01.egpack,game_t00115,ダリル,「進出可能半径内につき、\wナイヴス両機による直接確認の許可を願う！」,,黑刃,
katakana_callsign_or_unit,バスターズ,6,破坏者队,沿用已有,yes,破坏者队,3279,090_UAF_DAY99_01.egpack,game_t03278,ＪＦＫオペレーター２,「ＨＱよりバスターズ、\wナイヴス各リード。戦術機部隊を規定位置まで前進させろ。繰り返す、\w戦術機部隊を規定位置まで前進させろ」,,破坏者队,
katakana_foreign_word,インド,6,印度,沿用已有,yes,印度,59,020_UAF_DAY91_01.egpack,game_t00058,ウィル,「数字に強いってのはインド系の血の為せる業ってやつですかね」,,印度,
katakana_military_or_foreign,フライング・ブーム,6,飞行吊杆,沿用已有,yes,飞行吊杆,1637,050_UAF_DAY95_01.egpack,game_t01636,ダリル,「この計画――『フライング・ブーム作戦』に\nおいては、\w周辺の捜索活動を行う予定は無い」,,飞行吊杆,
katakana_person,マクマナス,6,麦克马纳斯,沿用已有,yes,麦克马纳斯,32,020_UAF_DAY91_01.egpack,game_t00031,ウィル,「了解です、\wマクマナス中尉。――中尉を扱うように丁寧に心掛けます」,,麦克马纳斯,
katakana_foreign_word,コリンズ,5,柯林斯,沿用已有,yes,柯林斯,334,020_UAF_DAY91_01.egpack,game_t00333,ダリル,「ＯＫコリンズ少尉、\w上官の心優しい説明を理解した上で、\w命令を復唱したまえ」,,柯林斯,
katakana_ship_or_codename,ケネディ,5,肯尼迪,沿用已有,yes,肯尼迪,669,030_UAF_DAY93_01.egpack,game_t00668,オールストン准将,「現在、\wジョン・Ｆ・ケネディ母艦打撃群司令、\w並びにこのケネディ海軍駐留拠点司令を兼任している」,,肯尼迪,
katakana_ship_or_codename,マルドゥーク,5,马尔杜克,沿用已有,yes,马尔杜克,1,010_UAFプロローグ.egpack,game_t00000,オペレーター,「移民船団指揮艦『マルドゥーク』のＧＳ機関起動を確認。全移民船団は重力勾配航法に入りました」,,马尔杜克,
kanji_place_or_military_org,分遣隊,4,分遣队,沿用已有,yes,分遣队,739,030_UAF_DAY93_01.egpack,game_t00738,ダリル,「海兵隊第３１８戦術機隊へようこそ。…\w…\wま、\w正確にはアタシらは分遣隊だけどね」,,分遣队,
kanji_place_or_military_org,司令部,4,司令部,沿用已有,yes,司令部,1582,050_UAF_DAY95_01.egpack,game_t01581,ダリル,「ＪＦＫ司令部はこれ以降、\w北東沿岸方面への中継機設置を進め、\w通信可能範囲を拡大して行く方針を決定した」,,司令部,
kanji_place_or_military_org,母艦打撃群司令部,4,母舰打击群司令部,沿用已有,yes,母舰打击群司令部,3058,090_UAF_DAY99_01.egpack,game_t03057,ＪＦＫオペレーター１,「――ＪＦＫ母艦打撃群司令部より全艦に達する。全艦総員、\w第一種戦闘配置。繰り返す、\w総員、\w第一種戦闘配置。これは訓練ではない」,,母舰打击群司令部,
kanji_place_or_military_org,海兵戦術機隊,4,海军陆战队战术机队,沿用已有,yes,海军陆战队战术机队,243,020_UAF_DAY91_01.egpack,game_t00242,ウィル,「第３１８海兵戦術機隊、\w\nウィルバート・コリンズ少尉です」,,海军陆战队战术机队,
kanji_place_or_military_org,海兵隊同士,4,海军陆战队同僚,沿用已有,yes,海军陆战队同僚,603,030_UAF_DAY93_01.egpack,game_t00602,リリア,「…\w…\wで、\wさっきも言ったけど、\wその敬語はやめない？　海兵隊同士なのに他人行儀過ぎて気持ち悪いわ」,,海军陆战队同僚,
kanji_place_or_military_org,米国,4,美国,沿用已有,yes,美国,63,020_UAF_DAY91_01.egpack,game_t00062,,インドからの難民を大量に受け入れた\nオーストラリアだが、\wその扱いは\n俺たち米国と似たようなもんだ。,,美国,
kanji_place_or_military_org,軍人,4,军人,沿用已有,yes,军人,2098,060_UAF_DAY96_01.egpack,game_t02097,ウィル,「けどなあ…\w…\w俺だって合衆国の軍人だ！　海兵隊員なんだよ！」,,军人,
kanji_place_or_military_org,部隊,4,部队,沿用已有,yes,部队,687,030_UAF_DAY93_01.egpack,game_t00686,オールストン准将,「シェルベリ少尉は第２６海兵戦術機甲群だったな。確か、\w在フィリピンの部隊と記憶しているが」,,部队,
kanji_place_or_region,地球,4,地球,沿用已有,yes,地球,3,010_UAFプロローグ.egpack,game_t00002,オペレーター,「『人類の勝利と地球の再興を祈る。遙か宇宙の深淵を越え、\w互いの捷報を伝え合わん事を』」,,地球,
katakana_foreign_word,ブロック,4,区块,沿用已有,yes,区块,1563,040_UAF_DAY94_01.egpack,game_t01562,ウィル,「レベル４、\wＣ２８ブロック」,,区块,
katakana_foreign_word,ヤンキー・ステーション,4,扬基站,沿用已有,yes,扬基站,974,040_UAF_DAY94_01.egpack,game_t00973,ウィル,「そうそう、\wヤンキー・ステーション――洋上配置ってやつさ。上陸することはほとんどなかったけどな」,,扬基站,
katakana_military_or_foreign,ニミッツ,4,尼米兹,沿用已有,yes,尼米兹,692,030_UAF_DAY93_01.egpack,game_t00691,オールストン准将,「本艦…\w…\wＣＶＮ－６７『ジョン・Ｆ・ケネディ』は、\w僚艦の『ニミッツ』と共に母艦打撃群を編成し、\w鉄原ハイヴ攻略部隊として日本海に展開していた」,,尼米兹,
katakana_military_or_foreign,バビロン,4,巴比伦,沿用已有,yes,巴比伦,19,010_UAFプロローグ.egpack,game_t00018,テイラー大将,「諸君――現時刻を以って『バビロン作戦』を発動する――！」,,巴比伦,
katakana_person,ウィルバート・Ｄ・コリンズ,4,威尔伯特·D·柯林斯,沿用已有,yes,威尔伯特·D·柯林斯,312,020_UAF_DAY91_01.egpack,game_t00311,ダリル,「ウィルバート・Ｄ・コリンズ少尉！」,,威尔伯特·D·柯林斯,
katakana_person,ジョージ・オールストン,4,乔治·奥尔斯顿,沿用已有,yes,乔治·奥尔斯顿,668,030_UAF_DAY93_01.egpack,game_t00667,オールストン准将,「本艦の艦長を務めるジョージ・オールストン\n准将である」,,乔治·奥尔斯顿,
latin_or_acronym,Ｃ２８,4,C28,沿用已有,yes,C28,1563,040_UAF_DAY94_01.egpack,game_t01562,ウィル,「レベル４、\wＣ２８ブロック」,,C28,
latin_or_acronym,Ｆ－１８Ｅ,4,F-18E,沿用已有,yes,F-18E,319,020_UAF_DAY91_01.egpack,game_t00318,ウィル,「…\w…\wは。いえ…\w…\wその、\w恐れながら、\w我々のＦ－１８Ｅは単座であります」,,F-18E,
ruby_reading_katakana,センパー・ファイ,4,永远忠诚,沿用已有,yes,永远忠诚,,050_UAF_DAY95_01.egpack,game_t01693_ruby,,常に忠誠を:センパー・ファイ,,永远忠诚,
ruby_term,おっかさん,4,Big Mom,沿用已有,yes,Big Mom,,020_UAF_DAY91_01.egpack,game_t00217_ruby,,おっかさん:ビッグ・マム,,Big Mom,
kanji_person_or_rank_name,准将,3,准将,沿用已有,yes,准将,668,030_UAF_DAY93_01.egpack,game_t00667,オールストン准将,「本艦の艦長を務めるジョージ・オールストン\n准将である」,,准将,
kanji_place_or_military_org,バビロン作戦,3,巴比伦作战,沿用已有,yes,巴比伦作战,19,010_UAFプロローグ.egpack,game_t00018,テイラー大将,「諸君――現時刻を以って『バビロン作戦』を発動する――！」,,巴比伦作战,
kanji_place_or_military_org,上陸部隊,3,登陆部队,沿用已有,yes,登陆部队,689,030_UAF_DAY93_01.egpack,game_t00688,オールストン准将,「ならば、\w第三次作戦用の上陸部隊で間違いはないな？」,,登陆部队,
kanji_place_or_military_org,個小隊,3,个小队,沿用已有,yes,个小队,760,030_UAF_DAY93_01.egpack,game_t00759,ダリル,「この分遣隊、\wアタシら戦術機１個小隊、\w第３海兵連隊からの歩兵１個小隊で構成されてるんだけど…\w…\w」,,个小队,
kanji_place_or_military_org,全戦術機部隊,3,全战术机部队,沿用已有,yes,全战术机部队,3061,090_UAF_DAY99_01.egpack,game_t03060,航海長,「全戦術機部隊の発進準備を急がせろ。総員第一種戦闘配置、\w近接防御戦用意！」,,全战术机部队,
kanji_place_or_military_org,分隊編成,3,分队编成,沿用已有,yes,分队编成,2218,060_UAF_DAY96_01.egpack,game_t02217,メルヴィナ,「今ここで誤魔化したって、\w君ら分隊編成じゃろ？　任務じゃ嫌でも顔合わすんじゃないん？」,,分队编成,
kanji_place_or_military_org,友軍,3,友军,沿用已有,yes,友军,705,030_UAF_DAY93_01.egpack,game_t00704,オールストン准将,「後ほど触れるが、\w現在集結している友軍の状況も似たようなものだ」,,友军,
kanji_place_or_military_org,各部隊指揮官,3,各部队指挥官,沿用已有,yes,各部队指挥官,3044,090_UAF_DAY99_01.egpack,game_t03043,ＪＦＫオペレーター１,「――総員、\w第一種戦闘配置、\w近接防御戦用意。これは訓練ではない。繰り返す、\w近接防御戦用意。各部隊指揮官は直ちに作戦室へ出頭せよ」,,各部队指挥官,
kanji_place_or_military_org,捜索隊,3,搜索队,沿用已有,yes,搜索队,252,020_UAF_DAY91_01.egpack,game_t00251,リリア,「すみません、\w捜索隊の手配をお願いします…\w…\w！　他にも救命艇が脱出してるはずなんです！」,,搜索队,
kanji_place_or_military_org,海兵隊第,3,海军陆战队第,沿用已有,yes,海军陆战队第,666,030_UAF_DAY93_01.egpack,game_t00665,リリア,「海兵隊第５３６戦術歩行戦闘機隊、\wリリア・シェルベリ少尉であります」,,海军陆战队第,
kanji_place_or_military_org,海軍戦術機部隊,3,海军战术机部队,沿用已有,yes,海军战术机部队,3182,090_UAF_DAY99_01.egpack,game_t03181,ダリル,「光線属種が存在しない場合、\w戦術機部隊は前進し敵群と接触。第二波以降は海軍戦術機部隊の目視誘導で敵のど真ん中に誘導弾を叩き込む」,,海军战术机部队,
kanji_place_or_military_org,第３１８戦術機隊,3,第318战术机队,沿用已有,yes,第318战术机队,87,020_UAF_DAY91_01.egpack,game_t00086,,海兵隊員、\w第３１８戦術機隊は諦めない、\wだ。,,第318战术机队,
kanji_place_or_military_org,米軍,3,美军,沿用已有,yes,美军,1097,040_UAF_DAY94_01.egpack,game_t01096,メルヴィナ,「…\w…\w哀れケネディの甲板は大破、\w偉大なる米軍はまた稼働機体をひとつ失うのである…\w…\w」,,美军,
kanji_place_or_military_org,軍葬,3,军葬,沿用已有,yes,军葬,2705,060_UAF_DAY96_01.egpack,game_t02704,オールストン准将,「明後日――戦没将兵追悼記念日に合わせ、\wブルーオーシャン作戦で散った者たちの軍葬を執り行う」,,军葬,
kanji_place_or_military_org,軍隊,3,军队,沿用已有,yes,军队,2126,060_UAF_DAY96_01.egpack,game_t02125,ウィル,「人類の秩序を再構築する、\w合衆国の軍隊――」,,军队,
kanji_place_or_military_org,部隊葬,3,部队葬,沿用已有,yes,部队葬,2534,060_UAF_DAY96_01.egpack,game_t02533,リリア,「は。――その日に合わせ、\w部隊葬の執行を具申いたします」,,部队葬,
kanji_place_or_region,低軌道観測衛星,3,低轨道观测卫星,沿用已有,yes,低轨道观测卫星,3037,090_UAF_DAY99_01.egpack,game_t03036,ダリル,「広域データリンク…\w…\w受信モード…\w…\w\n低軌道観測衛星？」,,低轨道观测卫星,
kanji_place_or_region,偵察衛星,3,侦察卫星,沿用已有,yes,侦察卫星,3097,090_UAF_DAY99_01.egpack,game_t03096,ダリル,「おそらく、\w本艦上空を偵察衛星が通過した際にリンクが復活したものと想定される」,,侦察卫星,
kanji_place_or_region,南太平洋,3,南太平洋,沿用已有,yes,南太平洋,452,020_UAF_DAY91_01.egpack,game_t00451,ウィル,「南太平洋…\w…\w。座標で言うとオーストラリアとハワイの中間くらいだ」,,南太平洋,
kanji_place_or_region,太平洋,3,太平洋,沿用已有,yes,太平洋,824,030_UAF_DAY93_01.egpack,game_t00823,ダリル,「ついでに説明しとくと、\w太平洋を横断して大海崩にも翻弄された各艦の燃料は元々かなり少なくてね」,,太平洋,
kanji_place_or_region,陸地,3,陆地,沿用已有,yes,陆地,443,020_UAF_DAY91_01.egpack,game_t00442,,陸地の状況を知らないのも無理はない。,,陆地,
kanji_place_or_region,静止衛星,3,静止卫星,沿用已有,yes,静止卫星,91,020_UAF_DAY91_01.egpack,game_t00090,ダリル,「母艦の静止衛星リンク、\wメルは何か言ってないのかい？」,,静止卫星,
katakana_callsign_or_unit,オール・ナイヴス,3,黑刃全机,沿用已有,yes,黑刃全机,3281,090_UAF_DAY99_01.egpack,game_t03280,ダリル,「ナイヴス１了解。オール・ナイヴス、\w出番だよ！　ついてきな！」,,黑刃全机,
katakana_callsign_or_unit,ナイヴス・リード,3,黑刃长机,沿用已有,yes,黑刃长机,534,020_UAF_DAY91_01.egpack,game_t00533,ダリル,「ナイヴス・リードよりケネディ・コントロール、\w管制空域に入った。両機着艦許可求む」,,黑刃长机,
katakana_foreign_word,カタパルト,3,弹射器,沿用已有,yes,弹射器,3586,090_UAF_DAY99_03.egpack,game_t03585,ダリル,「貴様の機体に保護対象７２を転送した。このデータを持って脱出だ！　新規増槽を装着、\wカタパルトで射出しな！」,,弹射器,
katakana_foreign_word,ゴーファー・ステート,3,戈弗州,沿用已有,yes,戈弗州,3135,090_UAF_DAY99_01.egpack,game_t03134,ダリル,「知っての通り、\w『ゲティスバーグ』『シドニー』『ゴーファー・ステート』のいずれも航行はほぼ不可能だが、\w現在の戦域情報に光線照射警報が出てない事――」,,戈弗州,
katakana_foreign_word,センサー,3,传感器,沿用已有,yes,传感器,1688,050_UAF_DAY95_01.egpack,game_t01687,ダリル,「補給拠点構築に影響が無い限り、\wセンサー類への注意を怠るな。復唱！」,,传感器,
katakana_foreign_word,プランＤ,3,D计划,沿用已有,yes,D计划,3416,090_UAF_DAY99_02.egpack,game_t03415,ＪＦＫオペレーター１,「こちらＨＱ、\wプランＤへの変更要請了解。許可あるまで待機せよ」,,D计划,
katakana_foreign_word,ミサイル,3,导弹,沿用已有,yes,导弹,3257,090_UAF_DAY99_01.egpack,game_t03256,航海長,「了解。第一波ミサイル発射！」,,导弹,
katakana_foreign_word,レベル４,3,第4层,沿用已有,yes,第4层,1563,040_UAF_DAY94_01.egpack,game_t01562,ウィル,「レベル４、\wＣ２８ブロック」,,第4层,
katakana_military_or_foreign,エンタープライズ,3,企业号,沿用已有,yes,企业号,531,020_UAF_DAY91_01.egpack,game_t00530,,エンタープライズ級正規戦術機母艦、\wＣＶＮ－６７\n『ジョン・Ｆ・ケネディ』、\w通称ＪＦＫ。,,企业号,
